cif name= ./1528989.cif
./1528989.cif
Full Formula (La16 Hf16 O56)
La1 : [4.0398 1.3466 4.0398] : 3
La1 : [1.3466 4.0398 4.0398] : 1
Hf1 : [4.0398 4.0398 6.733 ] : 18
Hf1 : [1.3466 1.3466 6.733 ] : 16


**isite= 42
O1 : [5.3864     0.         7.59266944]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [6.733  1.3466 6.733 ] : 8
La1 : [ 4.0398 -1.3466  6.733 ] : 2
Hf1 : [4.0398 1.3466 9.4262] : 19
Hf1 : [ 6.733  -1.3466  9.4262] : 25
!!!atention to nb coordination!!!
         [2.0894244820212844, 2.089424482021285, 2.6435766367657862, 2.6435766367657862]
         [2.0894244820212844, 2.0894244820212844, 2.6435766367657862, 2.6435766367657862]


**isite= 43
O1 : [5.3864     0.         3.18013056]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [4.0398 1.3466 4.0398] : 3
Hf1 : [6.733  1.3466 1.3466] : 24
Hf1 : [ 4.0398 -1.3466  1.3466] : 22
La1 : [ 6.733  -1.3466  4.0398] : 13
!!!atention to nb coordination!!!
         [2.0894244820212844, 2.6435766367657867, 2.6435766367657867, 2.089424482021285]
         [2.0894244820212844, 2.6435766367657862, 2.6435766367657862, 2.0894244820212844]


**isite= 44
O1 : [2.6932 8.0796 2.6932]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [1.3466 9.4262 4.0398] : 17
Hf1 : [1.3466 6.733  1.3466] : 20
Hf1 : [4.0398 6.733  4.0398] : 23
Hf1 : [4.0398 9.4262 1.3466] : 22


**isite= 45
O1 : [5.3864 5.3864 5.3864]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [6.733 6.733 6.733] : 28
Hf1 : [4.0398 6.733  4.0398] : 23
Hf1 : [4.0398 4.0398 6.733 ] : 18
Hf1 : [6.733  4.0398 4.0398] : 29


**isite= 46
O1 : [5.87333056 8.0796     2.6932    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [6.733  6.733  1.3466] : 12
Hf1 : [4.0398 9.4262 1.3466] : 22
Hf1 : [4.0398 6.733  4.0398] : 23
La1 : [6.733  9.4262 4.0398] : 13


**isite= 47
O1 : [5.3864     3.18013056 0.        ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [6.733  1.3466 1.3466] : 24
Hf1 : [ 4.0398  1.3466 -1.3466] : 19
La1 : [4.0398 4.0398 1.3466] : 6
La1 : [ 6.733   4.0398 -1.3466] : 9
!!!atention to nb coordination!!!
         [2.6435766367657862, 2.6435766367657867, 2.0894244820212844, 2.089424482021285]
         [2.6435766367657862, 2.6435766367657862, 2.0894244820212844, 2.0894244820212844]


**isite= 48
O1 : [4.89946944 8.0796     8.0796    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [4.0398 9.4262 6.733 ] : 2
Hf1 : [6.733 6.733 6.733] : 28
Hf1 : [6.733  9.4262 9.4262] : 25
La1 : [4.0398 6.733  9.4262] : 7


**isite= 49
O1 : [5.3864     7.59266944 0.        ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [ 4.0398  6.733  -1.3466] : 7
Hf1 : [ 6.733   9.4262 -1.3466] : 25
Hf1 : [4.0398 9.4262 1.3466] : 22
La1 : [6.733  6.733  1.3466] : 12
!!!atention to nb coordination!!!
         [2.089424482021285, 2.6435766367657862, 2.6435766367657862, 2.0894244820212844]
         [2.0894244820212844, 2.6435766367657862, 2.6435766367657862, 2.0894244820212844]


**isite= 50
O1 : [2.6932     5.87333056 8.0796    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [4.0398 4.0398 6.733 ] : 18
La1 : [1.3466 6.733  6.733 ] : 4
La1 : [4.0398 6.733  9.4262] : 7
Hf1 : [1.3466 4.0398 9.4262] : 21
!!!atention to nb coordination!!!
         [2.643576636765787, 2.089424482021285, 2.089424482021284, 2.6435766367657862]
         [2.6435766367657876, 2.089424482021285, 2.089424482021284, 2.6435766367657862]


**isite= 51
O1 : [2.20626944 5.3864     5.3864    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [1.3466 6.733  6.733 ] : 4
Hf1 : [4.0398 6.733  4.0398] : 23
Hf1 : [4.0398 4.0398 6.733 ] : 18
La1 : [1.3466 4.0398 4.0398] : 1


**isite= 52
O1 : [ 2.6932     10.28586944  8.0796    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [1.3466 9.4262 9.4262] : 5
Hf1 : [ 1.3466 12.1194  6.733 ] : 16
Hf1 : [ 4.0398 12.1194  9.4262] : 19
La1 : [4.0398 9.4262 6.733 ] : 2
!!!atention to nb coordination!!!
         [2.089424482021284, 2.6435766367657876, 2.6435766367657867, 2.0894244820212853]
         [2.089424482021284, 2.6435766367657876, 2.643576636765787, 2.0894244820212853]


**isite= 53
O1 : [3.18013056 5.3864     0.        ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [4.0398 4.0398 1.3466] : 6
Hf1 : [ 1.3466  4.0398 -1.3466] : 21
La1 : [ 4.0398  6.733  -1.3466] : 7
Hf1 : [1.3466 6.733  1.3466] : 20
!!!atention to nb coordination!!!
         [2.0894244820212844, 2.6435766367657867, 2.089424482021285, 2.6435766367657862]
         [2.0894244820212844, 2.6435766367657862, 2.0894244820212844, 2.6435766367657862]


**isite= 54
O1 : [2.6932     8.0796     5.87333056]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [4.0398 6.733  4.0398] : 23
Hf1 : [1.3466 9.4262 4.0398] : 17
La1 : [4.0398 9.4262 6.733 ] : 2
La1 : [1.3466 6.733  6.733 ] : 4


**isite= 55
O1 : [ 2.6932      8.0796     10.28586944]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [4.0398 6.733  9.4262] : 7
Hf1 : [ 1.3466  6.733  12.1194] : 20
Hf1 : [ 4.0398  9.4262 12.1194] : 22
La1 : [1.3466 9.4262 9.4262] : 5
!!!atention to nb coordination!!!
         [2.0894244820212853, 2.6435766367657876, 2.6435766367657867, 2.089424482021284]
         [2.0894244820212853, 2.6435766367657876, 2.643576636765787, 2.089424482021284]


**isite= 56
O1 : [5.3864     5.3864     2.20626944]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [4.0398 6.733  4.0398] : 23
La1 : [4.0398 4.0398 1.3466] : 6
La1 : [6.733  6.733  1.3466] : 12
Hf1 : [6.733  4.0398 4.0398] : 29


**isite= 57
O1 : [5.3864     5.3864     8.56653056]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [4.0398 6.733  9.4262] : 7
Hf1 : [6.733 6.733 6.733] : 28
La1 : [6.733  4.0398 9.4262] : 9
Hf1 : [4.0398 4.0398 6.733 ] : 18


**isite= 58
O1 : [2.6932 2.6932 8.0796]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [4.0398 1.3466 9.4262] : 19
Hf1 : [4.0398 4.0398 6.733 ] : 18
Hf1 : [1.3466 1.3466 6.733 ] : 16
Hf1 : [1.3466 4.0398 9.4262] : 21
!!!atention to nb coordination!!!
         [2.3323796174722493, 2.33237961747225, 2.33237961747225, 2.3323796174722493]
         [2.3323796174722493, 2.3323796174722506, 2.33237961747225, 2.3323796174722493]


**isite= 59
O1 : [5.3864 0.     0.    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [6.733  1.3466 1.3466] : 24
Hf1 : [ 4.0398  1.3466 -1.3466] : 19
Hf1 : [ 6.733  -1.3466 -1.3466] : 25
Hf1 : [ 4.0398 -1.3466  1.3466] : 22
!!!atention to nb coordination!!!
         [2.3323796174722498, 2.3323796174722498, 2.33237961747225, 2.3323796174722498]
         [2.3323796174722498, 2.3323796174722498, 2.3323796174722498, 2.3323796174722498]


**isite= 60
O1 : [0.48693056 2.6932     2.6932    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [-1.3466  4.0398  1.3466] : 26
La1 : [1.3466 1.3466 1.3466] : 0
Hf1 : [-1.3466  1.3466  4.0398] : 27
La1 : [1.3466 4.0398 4.0398] : 1
!!!atention to nb coordination!!!
         [2.643576636765787, 2.089424482021285, 2.643576636765787, 2.089424482021285]
         [2.6435766367657867, 2.089424482021285, 2.6435766367657867, 2.089424482021285]


**isite= 61
O1 : [0.         8.56653056 0.        ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [ 1.3466  9.4262 -1.3466] : 5
Hf1 : [-1.3466  6.733  -1.3466] : 31
La1 : [-1.3466  9.4262  1.3466] : 10
Hf1 : [1.3466 6.733  1.3466] : 20
!!!atention to nb coordination!!!
         [2.0894244820212844, 2.643576636765788, 2.0894244820212844, 2.6435766367657876]
         [2.089424482021284, 2.6435766367657876, 2.089424482021284, 2.6435766367657876]


**isite= 62
O1 : [10.28586944  2.6932      8.0796    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [9.4262 1.3466 9.4262] : 11
La1 : [9.4262 4.0398 6.733 ] : 14
Hf1 : [12.1194  1.3466  6.733 ] : 16
Hf1 : [12.1194  4.0398  9.4262] : 21


**isite= 63
O1 : [0.         2.20626944 0.        ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [ 1.3466  4.0398 -1.3466] : 21
Hf1 : [-1.3466  4.0398  1.3466] : 26
La1 : [-1.3466  1.3466 -1.3466] : 11
La1 : [1.3466 1.3466 1.3466] : 0
!!!atention to nb coordination!!!
         [2.643576636765787, 2.643576636765787, 2.0894244820212857, 2.089424482021285]
         [2.6435766367657867, 2.6435766367657867, 2.089424482021285, 2.089424482021285]


**isite= 64
O1 : [8.0796     0.48693056 8.0796    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [6.733  1.3466 6.733 ] : 8
Hf1 : [ 9.4262 -1.3466  6.733 ] : 30
La1 : [9.4262 1.3466 9.4262] : 11
Hf1 : [ 6.733  -1.3466  9.4262] : 25
!!!atention to nb coordination!!!
         [2.0894244820212857, 2.6435766367657867, 2.0894244820212835, 2.6435766367657867]
         [2.0894244820212857, 2.6435766367657862, 2.0894244820212835, 2.6435766367657862]


**isite= 65
O1 : [7.59266944 0.         5.3864    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [6.733  1.3466 6.733 ] : 8
La1 : [ 6.733  -1.3466  4.0398] : 13
Hf1 : [ 9.4262 -1.3466  6.733 ] : 30
Hf1 : [9.4262 1.3466 4.0398] : 27
!!!atention to nb coordination!!!
         [2.0894244820212844, 2.089424482021285, 2.6435766367657862, 2.6435766367657862]
         [2.089424482021285, 2.089424482021285, 2.6435766367657862, 2.6435766367657862]


**isite= 66
O1 : [8.0796     4.89946944 8.0796    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [9.4262 6.733  9.4262] : 31
La1 : [6.733  4.0398 9.4262] : 9
Hf1 : [6.733 6.733 6.733] : 28
La1 : [9.4262 4.0398 6.733 ] : 14


**isite= 67
O1 : [8.56653056 0.         0.        ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [ 9.4262 -1.3466  1.3466] : 10
La1 : [ 9.4262  1.3466 -1.3466] : 11
Hf1 : [ 6.733  -1.3466 -1.3466] : 25
Hf1 : [6.733  1.3466 1.3466] : 24
!!!atention to nb coordination!!!
         [2.0894244820212844, 2.0894244820212844, 2.643576636765788, 2.6435766367657876]
         [2.089424482021284, 2.089424482021284, 2.6435766367657876, 2.6435766367657876]


**isite= 68
O1 : [8.0796     2.6932     5.87333056]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [6.733  1.3466 6.733 ] : 8
Hf1 : [6.733  4.0398 4.0398] : 29
La1 : [9.4262 4.0398 6.733 ] : 14
Hf1 : [9.4262 1.3466 4.0398] : 27


**isite= 69
O1 : [ 8.0796      2.6932     10.28586944]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [6.733  4.0398 9.4262] : 9
Hf1 : [ 9.4262  4.0398 12.1194] : 26
La1 : [9.4262 1.3466 9.4262] : 11
Hf1 : [ 6.733   1.3466 12.1194] : 24
!!!atention to nb coordination!!!
         [2.0894244820212853, 2.6435766367657867, 2.089424482021284, 2.6435766367657876]
         [2.0894244820212853, 2.643576636765787, 2.089424482021284, 2.6435766367657876]


**isite= 70
O1 : [0.         0.         2.20626944]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [ 1.3466 -1.3466  4.0398] : 17
Hf1 : [-1.3466  1.3466  4.0398] : 27
La1 : [1.3466 1.3466 1.3466] : 0
La1 : [-1.3466 -1.3466  1.3466] : 10
!!!atention to nb coordination!!!
         [2.643576636765787, 2.643576636765787, 2.089424482021285, 2.0894244820212857]
         [2.6435766367657867, 2.6435766367657867, 2.089424482021285, 2.089424482021285]


**isite= 71
O1 : [0.         0.         8.56653056]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [1.3466 1.3466 6.733 ] : 16
Hf1 : [-1.3466 -1.3466  6.733 ] : 30
La1 : [-1.3466  1.3466  9.4262] : 11
La1 : [ 1.3466 -1.3466  9.4262] : 5
!!!atention to nb coordination!!!
         [2.6435766367657876, 2.643576636765788, 2.0894244820212844, 2.0894244820212844]
         [2.6435766367657876, 2.6435766367657876, 2.089424482021284, 2.089424482021284]


**isite= 72
O1 : [8.0796 8.0796 8.0796]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [9.4262 9.4262 6.733 ] : 30
Hf1 : [6.733  9.4262 9.4262] : 25
Hf1 : [6.733 6.733 6.733] : 28
Hf1 : [9.4262 6.733  9.4262] : 31


**isite= 73
O1 : [0.     5.3864 0.    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [-1.3466  4.0398  1.3466] : 26
Hf1 : [ 1.3466  4.0398 -1.3466] : 21
Hf1 : [1.3466 6.733  1.3466] : 20
Hf1 : [-1.3466  6.733  -1.3466] : 31
!!!atention to nb coordination!!!
         [2.33237961747225, 2.33237961747225, 2.3323796174722498, 2.3323796174722506]
         [2.3323796174722498, 2.3323796174722498, 2.3323796174722498, 2.3323796174722498]


**isite= 74
O1 : [0.48693056 8.0796     8.0796    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [1.3466 6.733  6.733 ] : 4
La1 : [1.3466 9.4262 9.4262] : 5
Hf1 : [-1.3466  9.4262  6.733 ] : 30
Hf1 : [-1.3466  6.733   9.4262] : 31
!!!atention to nb coordination!!!
         [2.0894244820212857, 2.0894244820212835, 2.6435766367657867, 2.6435766367657867]
         [2.0894244820212857, 2.0894244820212835, 2.6435766367657862, 2.6435766367657862]


**isite= 75
O1 : [0.         3.18013056 5.3864    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [-1.3466  1.3466  4.0398] : 27
Hf1 : [1.3466 1.3466 6.733 ] : 16
La1 : [1.3466 4.0398 4.0398] : 1
La1 : [-1.3466  4.0398  6.733 ] : 14
!!!atention to nb coordination!!!
         [2.6435766367657867, 2.6435766367657867, 2.089424482021285, 2.0894244820212853]
         [2.6435766367657867, 2.6435766367657867, 2.089424482021285, 2.089424482021285]


**isite= 76
O1 : [10.28586944  8.0796      2.6932    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [9.4262 9.4262 1.3466] : 10
Hf1 : [12.1194  6.733   1.3466] : 20
La1 : [9.4262 6.733  4.0398] : 15
Hf1 : [12.1194  9.4262  4.0398] : 17


**isite= 77
O1 : [0.         7.59266944 5.3864    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [-1.3466  9.4262  6.733 ] : 30
La1 : [-1.3466  6.733   4.0398] : 15
Hf1 : [1.3466 9.4262 4.0398] : 17
La1 : [1.3466 6.733  6.733 ] : 4
!!!atention to nb coordination!!!
         [2.6435766367657862, 2.0894244820212853, 2.6435766367657862, 2.089424482021285]
         [2.6435766367657862, 2.089424482021285, 2.6435766367657862, 2.089424482021285]


**isite= 78
O1 : [8.0796     5.87333056 2.6932    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [6.733  4.0398 4.0398] : 29
La1 : [6.733  6.733  1.3466] : 12
Hf1 : [9.4262 4.0398 1.3466] : 26
La1 : [9.4262 6.733  4.0398] : 15


**isite= 79
O1 : [7.59266944 5.3864     0.        ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [ 6.733   4.0398 -1.3466] : 9
Hf1 : [ 9.4262  6.733  -1.3466] : 31
Hf1 : [9.4262 4.0398 1.3466] : 26
La1 : [6.733  6.733  1.3466] : 12
!!!atention to nb coordination!!!
         [2.089424482021285, 2.6435766367657862, 2.6435766367657862, 2.0894244820212844]
         [2.0894244820212844, 2.6435766367657862, 2.6435766367657862, 2.0894244820212844]


**isite= 80
O1 : [ 8.0796     10.28586944  2.6932    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [6.733  9.4262 4.0398] : 13
Hf1 : [ 9.4262 12.1194  4.0398] : 27
Hf1 : [ 6.733  12.1194  1.3466] : 24
La1 : [9.4262 9.4262 1.3466] : 10
!!!atention to nb coordination!!!
         [2.0894244820212853, 2.6435766367657867, 2.6435766367657876, 2.089424482021284]
         [2.0894244820212853, 2.643576636765787, 2.6435766367657876, 2.089424482021284]


**isite= 81
O1 : [8.56653056 5.3864     5.3864    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [6.733  4.0398 4.0398] : 29
Hf1 : [6.733 6.733 6.733] : 28
La1 : [9.4262 6.733  4.0398] : 15
La1 : [9.4262 4.0398 6.733 ] : 14


**isite= 82
O1 : [8.0796     8.0796     0.48693056]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [9.4262 9.4262 1.3466] : 10
La1 : [6.733  6.733  1.3466] : 12
Hf1 : [ 6.733   9.4262 -1.3466] : 25
Hf1 : [ 9.4262  6.733  -1.3466] : 31
!!!atention to nb coordination!!!
         [2.0894244820212835, 2.0894244820212857, 2.6435766367657867, 2.6435766367657867]
         [2.0894244820212835, 2.0894244820212857, 2.6435766367657862, 2.6435766367657862]


**isite= 83
O1 : [8.0796     8.0796     4.89946944]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [9.4262 6.733  4.0398] : 15
Hf1 : [9.4262 9.4262 6.733 ] : 30
La1 : [6.733  9.4262 4.0398] : 13
Hf1 : [6.733 6.733 6.733] : 28


**isite= 84
O1 : [0.         5.3864     7.59266944]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [-1.3466  4.0398  6.733 ] : 14
Hf1 : [-1.3466  6.733   9.4262] : 31
La1 : [1.3466 6.733  6.733 ] : 4
Hf1 : [1.3466 4.0398 9.4262] : 21
!!!atention to nb coordination!!!
         [2.0894244820212853, 2.6435766367657862, 2.089424482021285, 2.6435766367657862]
         [2.0894244820212844, 2.6435766367657862, 2.0894244820212844, 2.6435766367657862]


**isite= 85
O1 : [0.         5.3864     3.18013056]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [1.3466 6.733  1.3466] : 20
La1 : [-1.3466  6.733   4.0398] : 15
La1 : [1.3466 4.0398 4.0398] : 1
Hf1 : [-1.3466  4.0398  1.3466] : 26
!!!atention to nb coordination!!!
         [2.6435766367657867, 2.0894244820212853, 2.089424482021285, 2.6435766367657867]
         [2.6435766367657862, 2.0894244820212844, 2.0894244820212844, 2.6435766367657862]


**isite= 86
O1 : [8.0796 2.6932 2.6932]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [6.733  1.3466 1.3466] : 24
Hf1 : [9.4262 1.3466 4.0398] : 27
Hf1 : [9.4262 4.0398 1.3466] : 26
Hf1 : [6.733  4.0398 4.0398] : 29


**isite= 87
O1 : [0.     0.     5.3864]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [-1.3466  1.3466  4.0398] : 27
Hf1 : [ 1.3466 -1.3466  4.0398] : 17
Hf1 : [-1.3466 -1.3466  6.733 ] : 30
Hf1 : [1.3466 1.3466 6.733 ] : 16
!!!atention to nb coordination!!!
         [2.33237961747225, 2.33237961747225, 2.3323796174722506, 2.3323796174722498]
         [2.3323796174722498, 2.3323796174722498, 2.3323796174722498, 2.3323796174722498]

END

