cif name= ./6000235.cif
./6000235.cif
Full Formula (Sr8 Al28 O50)
ce_fraction=  0.9523777653223885
species:coords:index
Al1 : [12.37255     1.41931125  0.        ] : 28
Al1 : [12.37255  0.       2.4404 ] : 32
Al1 : [12.37255    -1.41931125  0.        ] : 30
!!!atention to nb coordination!!!
         [1.8810113183121395, 1.843520267100367, 1.8810113183121404]
         [1.8810113183121397, 1.843520267100367, 1.8810113183121397]

ce_symbol  = SS:4
ce_fraction=  0.04011523102538498
species:coords:index
Al1 : [12.37255     1.41931125  0.        ] : 28
Al1 : [12.37255  0.       2.4404 ] : 32
Al1 : [12.37255    -1.41931125  0.        ] : 30
Sr1 : [ 9.3783929   0.         -0.56324432] : 7
!!!atention to nb coordination!!!
         [1.8810113183121395, 1.843520267100367, 1.8810113183121404, 2.51188320493638]
         [1.8810113183121397, 1.843520267100367, 1.8810113183121397, 2.5118832049363804]

ce_symbol  = T:4
ce_fraction=  0.0072942645424648525
species:coords:index
Al1 : [12.37255     1.41931125  0.        ] : 28
Al1 : [12.37255  0.       2.4404 ] : 32
Al1 : [12.37255    -1.41931125  0.        ] : 30
Sr1 : [ 9.3783929   0.         -0.56324432] : 7
!!!atention to nb coordination!!!
         [1.8810113183121395, 1.843520267100367, 1.8810113183121404, 2.51188320493638]
         [1.8810113183121397, 1.843520267100367, 1.8810113183121397, 2.5118832049363804]

ce_symbol  = TL:3
ce_fraction=  0.0002127391097617688
species:coords:index
Al1 : [12.37255     1.41931125  0.        ] : 28
Al1 : [12.37255  0.       2.4404 ] : 32
Al1 : [12.37255    -1.41931125  0.        ] : 30
!!!atention to nb coordination!!!
         [1.8810113183121395, 1.843520267100367, 1.8810113183121404]
         [1.8810113183121397, 1.843520267100367, 1.8810113183121397]


**isite= 68
O1 : [13.63949912  4.23675     1.73170784]

ce_symbol  = TL:3
ce_fraction=  0.9563791546514958
species:coords:index
Al1 : [12.37255  4.23675  0.     ] : 34
Al1 : [14.00820111  5.7467277   2.50189808] : 23
Al1 : [14.00820111  2.7267723   2.50189808] : 16
!!!atention to nb coordination!!!
         [2.145686863404407, 1.7346950215292913, 1.7346950215292918]
         [2.145686863404407, 1.7346950215292913, 1.7346950215292913]

ce_symbol  = TY:3
ce_fraction=  0.03452881490352994
species:coords:index
Al1 : [12.37255  4.23675  0.     ] : 34
Al1 : [14.00820111  5.7467277   2.50189808] : 23
Al1 : [14.00820111  2.7267723   2.50189808] : 16
!!!atention to nb coordination!!!
         [2.145686863404407, 1.7346950215292913, 1.7346950215292918]
         [2.145686863404407, 1.7346950215292913, 1.7346950215292913]

ce_symbol  = A:2
ce_fraction=  0.00909203044497428
species:coords:index
Al1 : [14.00820111  5.7467277   2.50189808] : 23
Al1 : [14.00820111  2.7267723   2.50189808] : 16
!!!atention to nb coordination!!!
         [1.7346950215292913, 1.7346950215292918]
         [1.7346950215292913, 1.7346950215292913]


**isite= 69
O1 : [23.47815088  4.23675     1.73170784]

ce_symbol  = TL:3
ce_fraction=  0.956379154651497
species:coords:index
Al1 : [24.7451   4.23675  0.     ] : 35
Al1 : [23.10944889  2.7267723   2.50189808] : 22
Al1 : [23.10944889  5.7467277   2.50189808] : 17
!!!atention to nb coordination!!!
         [2.145686863404406, 1.7346950215292922, 1.7346950215292918]
         [2.145686863404406, 1.7346950215292918, 1.7346950215292918]

ce_symbol  = TY:3
ce_fraction=  0.03452881490352911
species:coords:index
Al1 : [24.7451   4.23675  0.     ] : 35
Al1 : [23.10944889  2.7267723   2.50189808] : 22
Al1 : [23.10944889  5.7467277   2.50189808] : 17
!!!atention to nb coordination!!!
         [2.145686863404406, 1.7346950215292922, 1.7346950215292918]
         [2.145686863404406, 1.7346950215292918, 1.7346950215292918]

ce_symbol  = A:2
ce_fraction=  0.009092030444973928
species:coords:index
Al1 : [23.10944889  2.7267723   2.50189808] : 22
Al1 : [23.10944889  5.7467277   2.50189808] : 17
!!!atention to nb coordination!!!
         [1.7346950215292922, 1.7346950215292918]
         [1.7346950215292918, 1.7346950215292918]


**isite= 70
O1 : [1.26694912 4.23675    3.14909216]

ce_symbol  = TL:3
ce_fraction=  0.9563791546514936
species:coords:index
Al1 : [1.63565111 2.7267723  2.37890192] : 21
Al1 : [1.63565111 5.7467277  2.37890192] : 18
Al1 : [0.      4.23675 4.8808 ] : 35
!!!atention to nb coordination!!!
         [1.7346950215292913, 1.7346950215292911, 2.1456868634044084]
         [1.7346950215292911, 1.7346950215292911, 2.1456868634044084]

ce_symbol  = TY:3
ce_fraction=  0.03452881490353134
species:coords:index
Al1 : [1.63565111 2.7267723  2.37890192] : 21
Al1 : [1.63565111 5.7467277  2.37890192] : 18
Al1 : [0.      4.23675 4.8808 ] : 35
!!!atention to nb coordination!!!
         [1.7346950215292913, 1.7346950215292911, 2.1456868634044084]
         [1.7346950215292911, 1.7346950215292911, 2.1456868634044084]

ce_symbol  = A:2
ce_fraction=  0.009092030444974966
species:coords:index
Al1 : [1.63565111 2.7267723  2.37890192] : 21
Al1 : [1.63565111 5.7467277  2.37890192] : 18
!!!atention to nb coordination!!!
         [1.7346950215292913, 1.7346950215292911]
         [1.7346950215292911, 1.7346950215292911]


**isite= 71
O1 : [11.10560088  4.23675     3.14909216]

ce_symbol  = TL:3
ce_fraction=  0.9563791546514959
species:coords:index
Al1 : [12.37255  4.23675  4.8808 ] : 34
Al1 : [10.73689889  5.7467277   2.37890192] : 20
Al1 : [10.73689889  2.7267723   2.37890192] : 19
!!!atention to nb coordination!!!
         [2.145686863404407, 1.7346950215292913, 1.7346950215292918]
         [2.145686863404407, 1.7346950215292913, 1.7346950215292913]

ce_symbol  = TY:3
ce_fraction=  0.03452881490352991
species:coords:index
Al1 : [12.37255  4.23675  4.8808 ] : 34
Al1 : [10.73689889  5.7467277   2.37890192] : 20
Al1 : [10.73689889  2.7267723   2.37890192] : 19
!!!atention to nb coordination!!!
         [2.145686863404407, 1.7346950215292913, 1.7346950215292918]
         [2.145686863404407, 1.7346950215292913, 1.7346950215292913]

ce_symbol  = A:2
ce_fraction=  0.00909203044497428
species:coords:index
Al1 : [10.73689889  5.7467277   2.37890192] : 20
Al1 : [10.73689889  2.7267723   2.37890192] : 19
!!!atention to nb coordination!!!
         [1.7346950215292913, 1.7346950215292918]
         [1.7346950215292913, 1.7346950215292913]


**isite= 72
O1 : [16.42827189  0.          2.81963816]

ce_symbol  = A:2
ce_fraction=  0.9606587117447165
species:coords:index
Al1 : [16.97761311 -1.6404696   3.02414368] : 15
Al1 : [16.97761311  1.6404696   3.02414368] : 8
!!!atention to nb coordination!!!
         [1.7420501692619899, 1.7420501692619885]
         [1.7420501692619887, 1.7420501692619887]

ce_symbol  = L:2
ce_fraction=  0.0393412882552834
species:coords:index
Al1 : [16.97761311 -1.6404696   3.02414368] : 15
Al1 : [16.97761311  1.6404696   3.02414368] : 8
!!!atention to nb coordination!!!
         [1.7420501692619899, 1.7420501692619885]
         [1.7420501692619887, 1.7420501692619887]


**isite= 73
O1 : [20.68937811  0.          2.81963816]

ce_symbol  = A:2
ce_fraction=  0.9606587117447165
species:coords:index
Al1 : [20.14003689  1.6404696   3.02414368] : 14
Al1 : [20.14003689 -1.6404696   3.02414368] : 9
!!!atention to nb coordination!!!
         [1.7420501692619885, 1.7420501692619899]
         [1.7420501692619887, 1.7420501692619887]

ce_symbol  = L:2
ce_fraction=  0.0393412882552834
species:coords:index
Al1 : [20.14003689  1.6404696   3.02414368] : 14
Al1 : [20.14003689 -1.6404696   3.02414368] : 9
!!!atention to nb coordination!!!
         [1.7420501692619885, 1.7420501692619899]
         [1.7420501692619887, 1.7420501692619887]


**isite= 74
O1 : [4.05572189 0.         2.06116184]

ce_symbol  = A:2
ce_fraction=  0.960658711744715
species:coords:index
Al1 : [4.60506311 1.6404696  1.85665632] : 13
Al1 : [ 4.60506311 -1.6404696   1.85665632] : 10
!!!atention to nb coordination!!!
         [1.7420501692619879, 1.7420501692619894]
         [1.742050169261988, 1.742050169261988]

ce_symbol  = L:2
ce_fraction=  0.0393412882552851
species:coords:index
Al1 : [4.60506311 1.6404696  1.85665632] : 13
Al1 : [ 4.60506311 -1.6404696   1.85665632] : 10
!!!atention to nb coordination!!!
         [1.7420501692619879, 1.7420501692619894]
         [1.742050169261988, 1.742050169261988]


**isite= 75
O1 : [8.31682811 0.         2.06116184]

ce_symbol  = A:2
ce_fraction=  0.960658711744714
species:coords:index
Al1 : [ 7.76748689 -1.6404696   1.85665632] : 12
Al1 : [7.76748689 1.6404696  1.85665632] : 11
!!!atention to nb coordination!!!
         [1.7420501692619892, 1.7420501692619876]
         [1.7420501692619879, 1.7420501692619879]

ce_symbol  = L:2
ce_fraction=  0.03934128825528604
species:coords:index
Al1 : [ 7.76748689 -1.6404696   1.85665632] : 12
Al1 : [7.76748689 1.6404696  1.85665632] : 11
!!!atention to nb coordination!!!
         [1.7420501692619892, 1.7420501692619876]
         [1.7420501692619879, 1.7420501692619879]


**isite= 76
O1 : [13.44896185  2.8369278   4.13257336]

ce_symbol  = TY:3
ce_fraction=  0.7763265554771314
species:coords:index
Al1 : [12.37255     1.41931125  4.8808    ] : 28
Al1 : [14.00820111  2.7267723   2.50189808] : 16
Al1 : [12.37255  4.23675  4.8808 ] : 34
!!!atention to nb coordination!!!
         [1.9308397806291473, 1.727421388344106, 1.9178132774696668]
         [1.930839780629147, 1.727421388344106, 1.9178132774696675]

ce_symbol  = TL:3
ce_fraction=  0.11356961427501135
species:coords:index
Al1 : [12.37255     1.41931125  4.8808    ] : 28
Al1 : [14.00820111  2.7267723   2.50189808] : 16
Al1 : [12.37255  4.23675  4.8808 ] : 34
!!!atention to nb coordination!!!
         [1.9308397806291473, 1.727421388344106, 1.9178132774696668]
         [1.930839780629147, 1.727421388344106, 1.9178132774696675]

ce_symbol  = A:2
ce_fraction=  0.11005034306531675
species:coords:index
Al1 : [14.00820111  2.7267723   2.50189808] : 16
Al1 : [12.37255  4.23675  4.8808 ] : 34
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9178132774696668]
         [1.727421388344106, 1.9178132774696675]

ce_symbol  = TS:3
ce_fraction=  5.3428146758121264e-05
species:coords:index
Al1 : [12.37255     1.41931125  4.8808    ] : 28
Al1 : [14.00820111  2.7267723   2.50189808] : 16
Al1 : [12.37255  4.23675  4.8808 ] : 34
!!!atention to nb coordination!!!
         [1.9308397806291473, 1.727421388344106, 1.9178132774696668]
         [1.930839780629147, 1.727421388344106, 1.9178132774696675]

ce_symbol  = L:2
ce_fraction=  5.90357825141335e-08
species:coords:index
Al1 : [14.00820111  2.7267723   2.50189808] : 16
Al1 : [12.37255  4.23675  4.8808 ] : 34
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9178132774696668]
         [1.727421388344106, 1.9178132774696675]


**isite= 77
O1 : [23.66868815  5.6365722   4.13257336]

ce_symbol  = TY:3
ce_fraction=  0.776326555477131
species:coords:index
Al1 : [24.7451      7.05418875  4.8808    ] : 29
Al1 : [23.10944889  5.7467277   2.50189808] : 17
Al1 : [24.7451   4.23675  4.8808 ] : 35
!!!atention to nb coordination!!!
         [1.9308397806291464, 1.727421388344106, 1.9178132774696681]
         [1.930839780629147, 1.727421388344106, 1.9178132774696675]

ce_symbol  = TL:3
ce_fraction=  0.11356961427501142
species:coords:index
Al1 : [24.7451      7.05418875  4.8808    ] : 29
Al1 : [23.10944889  5.7467277   2.50189808] : 17
Al1 : [24.7451   4.23675  4.8808 ] : 35
!!!atention to nb coordination!!!
         [1.9308397806291464, 1.727421388344106, 1.9178132774696681]
         [1.930839780629147, 1.727421388344106, 1.9178132774696675]

ce_symbol  = A:2
ce_fraction=  0.11005034306531682
species:coords:index
Al1 : [23.10944889  5.7467277   2.50189808] : 17
Al1 : [24.7451   4.23675  4.8808 ] : 35
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9178132774696681]
         [1.727421388344106, 1.9178132774696675]

ce_symbol  = TS:3
ce_fraction=  5.34281467581213e-05
species:coords:index
Al1 : [24.7451      7.05418875  4.8808    ] : 29
Al1 : [23.10944889  5.7467277   2.50189808] : 17
Al1 : [24.7451   4.23675  4.8808 ] : 35
!!!atention to nb coordination!!!
         [1.9308397806291464, 1.727421388344106, 1.9178132774696681]
         [1.930839780629147, 1.727421388344106, 1.9178132774696675]

ce_symbol  = L:2
ce_fraction=  5.90357825141315e-08
species:coords:index
Al1 : [23.10944889  5.7467277   2.50189808] : 17
Al1 : [24.7451   4.23675  4.8808 ] : 35
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9178132774696681]
         [1.727421388344106, 1.9178132774696675]


**isite= 78
O1 : [1.07641185 5.6365722  0.74822664]

ce_symbol  = TY:3
ce_fraction=  0.7763265554771283
species:coords:index
Al1 : [0.         7.05418875 0.        ] : 29
Al1 : [1.63565111 5.7467277  2.37890192] : 18
Al1 : [0.      4.23675 0.     ] : 35
!!!atention to nb coordination!!!
         [1.9308397806291449, 1.727421388344107, 1.9178132774696666]
         [1.9308397806291453, 1.727421388344107, 1.917813277469666]

ce_symbol  = TL:3
ce_fraction=  0.11356961427501379
species:coords:index
Al1 : [0.         7.05418875 0.        ] : 29
Al1 : [1.63565111 5.7467277  2.37890192] : 18
Al1 : [0.      4.23675 0.     ] : 35
!!!atention to nb coordination!!!
         [1.9308397806291449, 1.727421388344107, 1.9178132774696666]
         [1.9308397806291453, 1.727421388344107, 1.917813277469666]

ce_symbol  = A:2
ce_fraction=  0.11005034306531729
species:coords:index
Al1 : [1.63565111 5.7467277  2.37890192] : 18
Al1 : [0.      4.23675 0.     ] : 35
!!!atention to nb coordination!!!
         [1.727421388344107, 1.9178132774696666]
         [1.727421388344107, 1.917813277469666]

ce_symbol  = TS:3
ce_fraction=  5.342814675812604e-05
species:coords:index
Al1 : [0.         7.05418875 0.        ] : 29
Al1 : [1.63565111 5.7467277  2.37890192] : 18
Al1 : [0.      4.23675 0.     ] : 35
!!!atention to nb coordination!!!
         [1.9308397806291449, 1.727421388344107, 1.9178132774696666]
         [1.9308397806291453, 1.727421388344107, 1.917813277469666]

ce_symbol  = L:2
ce_fraction=  5.9035782514144675e-08
species:coords:index
Al1 : [1.63565111 5.7467277  2.37890192] : 18
Al1 : [0.      4.23675 0.     ] : 35
!!!atention to nb coordination!!!
         [1.727421388344107, 1.9178132774696666]
         [1.727421388344107, 1.917813277469666]


**isite= 79
O1 : [11.29613815  2.8369278   0.74822664]

ce_symbol  = TY:3
ce_fraction=  0.7763265554771345
species:coords:index
Al1 : [10.73689889  2.7267723   2.37890192] : 19
Al1 : [12.37255     1.41931125  0.        ] : 28
Al1 : [12.37255  4.23675  0.     ] : 34
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9308397806291473, 1.9178132774696668]
         [1.727421388344106, 1.930839780629147, 1.9178132774696672]

ce_symbol  = TL:3
ce_fraction=  0.11356961427501044
species:coords:index
Al1 : [10.73689889  2.7267723   2.37890192] : 19
Al1 : [12.37255     1.41931125  0.        ] : 28
Al1 : [12.37255  4.23675  0.     ] : 34
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9308397806291473, 1.9178132774696668]
         [1.727421388344106, 1.930839780629147, 1.9178132774696672]

ce_symbol  = A:2
ce_fraction=  0.11005034306531446
species:coords:index
Al1 : [10.73689889  2.7267723   2.37890192] : 19
Al1 : [12.37255  4.23675  0.     ] : 34
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9178132774696668]
         [1.727421388344106, 1.9178132774696672]

ce_symbol  = TS:3
ce_fraction=  5.342814675812055e-05
species:coords:index
Al1 : [10.73689889  2.7267723   2.37890192] : 19
Al1 : [12.37255     1.41931125  0.        ] : 28
Al1 : [12.37255  4.23675  0.     ] : 34
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9308397806291473, 1.9178132774696668]
         [1.727421388344106, 1.930839780629147, 1.9178132774696672]

ce_symbol  = L:2
ce_fraction=  5.903578251413249e-08
species:coords:index
Al1 : [10.73689889  2.7267723   2.37890192] : 19
Al1 : [12.37255  4.23675  0.     ] : 34
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9178132774696668]
         [1.727421388344106, 1.9178132774696672]


**isite= 80
O1 : [11.29613815  5.6365722   0.74822664]

ce_symbol  = TY:3
ce_fraction=  0.7763265554771326
species:coords:index
Al1 : [10.73689889  5.7467277   2.37890192] : 20
Al1 : [12.37255  4.23675  0.     ] : 34
Al1 : [12.37255     7.05418875  0.        ] : 30
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9178132774696681, 1.9308397806291464]
         [1.727421388344106, 1.9178132774696672, 1.930839780629147]

ce_symbol  = TL:3
ce_fraction=  0.11356961427501072
species:coords:index
Al1 : [10.73689889  5.7467277   2.37890192] : 20
Al1 : [12.37255  4.23675  0.     ] : 34
Al1 : [12.37255     7.05418875  0.        ] : 30
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9178132774696681, 1.9308397806291464]
         [1.727421388344106, 1.9178132774696672, 1.930839780629147]

ce_symbol  = A:2
ce_fraction=  0.11005034306531593
species:coords:index
Al1 : [10.73689889  5.7467277   2.37890192] : 20
Al1 : [12.37255  4.23675  0.     ] : 34
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9178132774696681]
         [1.727421388344106, 1.9178132774696672]

ce_symbol  = TS:3
ce_fraction=  5.342814675812086e-05
species:coords:index
Al1 : [10.73689889  5.7467277   2.37890192] : 20
Al1 : [12.37255  4.23675  0.     ] : 34
Al1 : [12.37255     7.05418875  0.        ] : 30
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9178132774696681, 1.9308397806291464]
         [1.727421388344106, 1.9178132774696672, 1.930839780629147]

ce_symbol  = L:2
ce_fraction=  5.9035782514134596e-08
species:coords:index
Al1 : [10.73689889  5.7467277   2.37890192] : 20
Al1 : [12.37255  4.23675  0.     ] : 34
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9178132774696681]
         [1.727421388344106, 1.9178132774696672]


**isite= 81
O1 : [1.07641185 2.8369278  0.74822664]

ce_symbol  = TY:3
ce_fraction=  0.7763265554771284
species:coords:index
Al1 : [0.         1.41931125 0.        ] : 31
Al1 : [0.      4.23675 0.     ] : 35
Al1 : [1.63565111 2.7267723  2.37890192] : 21
!!!atention to nb coordination!!!
         [1.9308397806291457, 1.9178132774696652, 1.727421388344107]
         [1.9308397806291453, 1.917813277469666, 1.727421388344107]

ce_symbol  = TL:3
ce_fraction=  0.1135696142750139
species:coords:index
Al1 : [0.         1.41931125 0.        ] : 31
Al1 : [0.      4.23675 0.     ] : 35
Al1 : [1.63565111 2.7267723  2.37890192] : 21
!!!atention to nb coordination!!!
         [1.9308397806291457, 1.9178132774696652, 1.727421388344107]
         [1.9308397806291453, 1.917813277469666, 1.727421388344107]

ce_symbol  = A:2
ce_fraction=  0.1100503430653173
species:coords:index
Al1 : [0.      4.23675 0.     ] : 35
Al1 : [1.63565111 2.7267723  2.37890192] : 21
!!!atention to nb coordination!!!
         [1.9178132774696652, 1.727421388344107]
         [1.917813277469666, 1.727421388344107]

ce_symbol  = TS:3
ce_fraction=  5.34281467581249e-05
species:coords:index
Al1 : [0.         1.41931125 0.        ] : 31
Al1 : [0.      4.23675 0.     ] : 35
Al1 : [1.63565111 2.7267723  2.37890192] : 21
!!!atention to nb coordination!!!
         [1.9308397806291457, 1.9178132774696652, 1.727421388344107]
         [1.9308397806291453, 1.917813277469666, 1.727421388344107]

ce_symbol  = L:2
ce_fraction=  5.9035782514146104e-08
species:coords:index
Al1 : [0.      4.23675 0.     ] : 35
Al1 : [1.63565111 2.7267723  2.37890192] : 21
!!!atention to nb coordination!!!
         [1.9178132774696652, 1.727421388344107]
         [1.917813277469666, 1.727421388344107]


**isite= 82
O1 : [23.66868815  2.8369278   4.13257336]

ce_symbol  = TY:3
ce_fraction=  0.7763265554771338
species:coords:index
Al1 : [23.10944889  2.7267723   2.50189808] : 22
Al1 : [24.7451      1.41931125  4.8808    ] : 31
Al1 : [24.7451   4.23675  4.8808 ] : 35
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9308397806291473, 1.9178132774696668]
         [1.727421388344106, 1.930839780629147, 1.9178132774696675]

ce_symbol  = TL:3
ce_fraction=  0.11356961427501053
species:coords:index
Al1 : [23.10944889  2.7267723   2.50189808] : 22
Al1 : [24.7451      1.41931125  4.8808    ] : 31
Al1 : [24.7451   4.23675  4.8808 ] : 35
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9308397806291473, 1.9178132774696668]
         [1.727421388344106, 1.930839780629147, 1.9178132774696675]

ce_symbol  = A:2
ce_fraction=  0.11005034306531489
species:coords:index
Al1 : [23.10944889  2.7267723   2.50189808] : 22
Al1 : [24.7451   4.23675  4.8808 ] : 35
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9178132774696668]
         [1.727421388344106, 1.9178132774696675]

ce_symbol  = TS:3
ce_fraction=  5.3428146758120926e-05
species:coords:index
Al1 : [23.10944889  2.7267723   2.50189808] : 22
Al1 : [24.7451      1.41931125  4.8808    ] : 31
Al1 : [24.7451   4.23675  4.8808 ] : 35
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9308397806291473, 1.9178132774696668]
         [1.727421388344106, 1.930839780629147, 1.9178132774696675]

ce_symbol  = L:2
ce_fraction=  5.9035782514131837e-08
species:coords:index
Al1 : [23.10944889  2.7267723   2.50189808] : 22
Al1 : [24.7451   4.23675  4.8808 ] : 35
!!!atention to nb coordination!!!
         [1.727421388344106, 1.9178132774696668]
         [1.727421388344106, 1.9178132774696675]


**isite= 83
O1 : [13.44896185  5.6365722   4.13257336]

ce_symbol  = TY:3
ce_fraction=  0.7763265554771336
species:coords:index
Al1 : [12.37255     7.05418875  4.8808    ] : 30
Al1 : [12.37255  4.23675  4.8808 ] : 34
Al1 : [14.00820111  5.7467277   2.50189808] : 23
!!!atention to nb coordination!!!
         [1.9308397806291464, 1.9178132774696681, 1.727421388344106]
         [1.930839780629147, 1.9178132774696675, 1.727421388344106]

ce_symbol  = TL:3
ce_fraction=  0.11356961427501068
species:coords:index
Al1 : [12.37255     7.05418875  4.8808    ] : 30
Al1 : [12.37255  4.23675  4.8808 ] : 34
Al1 : [14.00820111  5.7467277   2.50189808] : 23
!!!atention to nb coordination!!!
         [1.9308397806291464, 1.9178132774696681, 1.727421388344106]
         [1.930839780629147, 1.9178132774696675, 1.727421388344106]

ce_symbol  = A:2
ce_fraction=  0.11005034306531507
species:coords:index
Al1 : [12.37255  4.23675  4.8808 ] : 34
Al1 : [14.00820111  5.7467277   2.50189808] : 23
!!!atention to nb coordination!!!
         [1.9178132774696681, 1.727421388344106]
         [1.9178132774696675, 1.727421388344106]

ce_symbol  = TS:3
ce_fraction=  5.342814675812099e-05
species:coords:index
Al1 : [12.37255     7.05418875  4.8808    ] : 30
Al1 : [12.37255  4.23675  4.8808 ] : 34
Al1 : [14.00820111  5.7467277   2.50189808] : 23
!!!atention to nb coordination!!!
         [1.9308397806291464, 1.9178132774696681, 1.727421388344106]
         [1.930839780629147, 1.9178132774696675, 1.727421388344106]

ce_symbol  = L:2
ce_fraction=  5.903578251413409e-08
species:coords:index
Al1 : [12.37255  4.23675  4.8808 ] : 34
Al1 : [14.00820111  5.7467277   2.50189808] : 23
!!!atention to nb coordination!!!
         [1.9178132774696681, 1.727421388344106]
         [1.9178132774696675, 1.727421388344106]


**isite= 84
O1 : [18.558825    4.23675     0.48856808]

ce_symbol  = L:2
ce_fraction=  0.9999921795670309
species:coords:index
Al1 : [18.558825    2.4996825   0.63303976] : 24
Al1 : [18.558825    5.9738175   0.63303976] : 25
!!!atention to nb coordination!!!
         [1.743064991868712, 1.7430649918687102]
         [1.7430649918687116, 1.7430649918687111]

ce_symbol  = A:2
ce_fraction=  7.820432969172864e-06
species:coords:index
Al1 : [18.558825    2.4996825   0.63303976] : 24
Al1 : [18.558825    5.9738175   0.63303976] : 25
!!!atention to nb coordination!!!
         [1.743064991868712, 1.7430649918687102]
         [1.7430649918687116, 1.7430649918687111]


**isite= 85
O1 : [6.186275   4.23675    4.39223192]

ce_symbol  = L:2
ce_fraction=  0.9999921795670309
species:coords:index
Al1 : [6.186275   2.4996825  4.24776024] : 27
Al1 : [6.186275   5.9738175  4.24776024] : 26
!!!atention to nb coordination!!!
         [1.7430649918687122, 1.7430649918687104]
         [1.7430649918687116, 1.7430649918687113]

ce_symbol  = A:2
ce_fraction=  7.820432969172963e-06
species:coords:index
Al1 : [6.186275   2.4996825  4.24776024] : 27
Al1 : [6.186275   5.9738175  4.24776024] : 26
!!!atention to nb coordination!!!
         [1.7430649918687122, 1.7430649918687104]
         [1.7430649918687116, 1.7430649918687113]

END

