cif name= ./4123969.cif
./4123969.cif
Full Formula (Sr18 Rh15 O45)
         [2.0179933351333226, 2.069498423135459, 2.50289955197388]
         [2.017993335133322, 2.06949842313546, 2.502899551973881]


**isite= 57
O1 : [ 0.75331518  6.9791669  11.18431067]

ce_symbol  = S:5
ce_fraction=  0.9952643898917316
species:coords:index
Rh1 : [ 0.          5.57241159 12.50202819] : 27
Rh1 : [0.         5.57241159 9.94905651] : 25
Sr1 : [ 1.69580369  8.35861739 13.048     ] : 6
Sr1 : [ 3.1271508   5.72843912 10.87333333] : 4
Sr1 : [-1.6986992   8.20258987 10.87333333] : 5
!!!atention to nb coordination!!!
         [2.069498423135462, 2.0179933351333212, 2.5028995519738824, 2.701133542377274, 2.7578696847480355]
         [2.069498423135461, 2.0179933351333226, 2.502899551973882, 2.701133542377274, 2.757869684748035]

ce_symbol  = TS:3
ce_fraction=  0.004735610108268364
species:coords:index
Rh1 : [ 0.          5.57241159 12.50202819] : 27
Rh1 : [0.         5.57241159 9.94905651] : 25
Sr1 : [ 1.69580369  8.35861739 13.048     ] : 6
!!!atention to nb coordination!!!
         [2.069498423135462, 2.0179933351333212, 2.5028995519738824]
         [2.069498423135461, 2.0179933351333226, 2.502899551973882]


**isite= 58
O1 : [-1.59494343  5.52142403 11.18431067]

ce_symbol  = S:5
ce_fraction=  0.9952643898917314
species:coords:index
Rh1 : [ 0.          5.57241159 12.50202819] : 27
Sr1 : [-3.26082684  5.64791777 13.048     ] : 1
Sr1 : [-1.4284516   2.7862058  10.87333333] : 3
Sr1 : [-1.6986992   8.20258987 10.87333333] : 5
Rh1 : [0.         5.57241159 9.94905651] : 25
!!!atention to nb coordination!!!
         [2.0694984231354643, 2.5028995519738797, 2.757869684748038, 2.7011335423772707, 2.0179933351333235]
         [2.069498423135463, 2.5028995519738793, 2.757869684748038, 2.701133542377271, 2.0179933351333244]

ce_symbol  = TS:3
ce_fraction=  0.004735610108268584
species:coords:index
Rh1 : [ 0.          5.57241159 12.50202819] : 27
Sr1 : [-3.26082684  5.64791777 13.048     ] : 1
Rh1 : [0.         5.57241159 9.94905651] : 25
!!!atention to nb coordination!!!
         [2.0694984231354643, 2.5028995519738797, 2.0179933351333235]
         [2.069498423135463, 2.5028995519738793, 2.0179933351333244]


**isite= 59
O1 : [ 0.84162824  4.21664385 11.18431067]

ce_symbol  = S:5
ce_fraction=  0.9952643898917312
species:coords:index
Sr1 : [-1.4284516   2.7862058  10.87333333] : 3
Rh1 : [0.         5.57241159 9.94905651] : 25
Sr1 : [ 1.56502316  2.71069962 13.048     ] : 2
Rh1 : [ 0.          5.57241159 12.50202819] : 27
Sr1 : [ 3.1271508   5.72843912 10.87333333] : 4
!!!atention to nb coordination!!!
         [2.7011335423772707, 2.017993335133321, 2.502899551973881, 2.0694984231354616, 2.757869684748038]
         [2.701133542377271, 2.0179933351333217, 2.5028995519738806, 2.0694984231354607, 2.7578696847480386]

ce_symbol  = TS:3
ce_fraction=  0.004735610108268819
species:coords:index
Rh1 : [0.         5.57241159 9.94905651] : 25
Sr1 : [ 1.56502316  2.71069962 13.048     ] : 2
Rh1 : [ 0.          5.57241159 12.50202819] : 27
!!!atention to nb coordination!!!
         [2.017993335133321, 2.502899551973881, 2.0694984231354616]
         [2.0179933351333217, 2.5028995519738806, 2.0694984231354607]


**isite= 60
O1 : [1.5828788 0.        0.       ]


**isite= 61
O1 : [4.0344106  4.15701905 4.34933333]


**isite= 62
O1 : [4.0344106  1.41539254 4.34933333]


**isite= 63
O1 : [4.053714   7.15497649 7.9540608 ]

ce_symbol  = TS:3
ce_fraction=  1.0
species:coords:index
Rh1 : [4.82585    8.35861739 9.24463848] : 31
Sr1 : [3.1271508  5.41638407 6.524     ] : 17
Rh1 : [4.82585    8.35861739 6.524     ] : 28
!!!atention to nb coordination!!!
         [1.9262752079273286, 2.4343986624925646, 2.0223796182363767]
         [1.9262752079273275, 2.4343986624925664, 2.022379618236378]


**isite= 64
O1 : [-3.3973984   8.29174845  7.9540608 ]

ce_symbol  = TS:3
ce_fraction=  1.0
species:coords:index
Rh1 : [-4.82585     8.35861739  6.524     ] : 28
Sr1 : [-1.4284516   8.35861739  6.524     ] : 15
Rh1 : [-4.82585     8.35861739  9.24463848] : 31
!!!atention to nb coordination!!!
         [2.0223796182363754, 2.4343986624925664, 1.9262752079273275]
         [2.0223796182363767, 2.4343986624925673, 1.9262752079273264]


**isite= 65
O1 : [-0.6563156   1.27050984  7.9540608 ]

ce_symbol  = TS:3
ce_fraction=  1.0
species:coords:index
Sr1 : [-1.6986992   2.94223332  6.524     ] : 16
Rh1 : [0.         0.         9.24463848] : 31
Rh1 : [0.    0.    6.524] : 28
!!!atention to nb coordination!!!
         [2.4343986624925638, 1.9262752079273293, 2.022379618236377]
         [2.434398662492564, 1.926275207927328, 2.0223796182363785]


**isite= 66
O1 : [4.1695344  7.08810755 5.0939392 ]

ce_symbol  = TS:3
ce_fraction=  1.0
species:coords:index
Sr1 : [3.1271508  5.41638407 6.524     ] : 17
Rh1 : [4.82585    8.35861739 3.80336152] : 32
Rh1 : [4.82585    8.35861739 6.524     ] : 28
!!!atention to nb coordination!!!
         [2.4343986624925686, 1.926275207927325, 2.0223796182363807]
         [2.434398662492568, 1.9262752079273255, 2.0223796182363794]


**isite= 67
O1 : [1.4284516  0.06686894 5.0939392 ]

ce_symbol  = TS:3
ce_fraction=  1.0
species:coords:index
Rh1 : [ 5.35776978e-16 -9.27992948e-16  3.80336152e+00] : 32
Rh1 : [0.    0.    6.524] : 28
Sr1 : [3.3973984 0.        6.524    ] : 15
!!!atention to nb coordination!!!
         [1.926275207927325, 2.0223796182363802, 2.43439866249257]
         [1.9262752079273255, 2.022379618236379, 2.434398662492568]


**isite= 68
O1 : [8.879564  1.2036409 5.0939392]

ce_symbol  = TS:3
ce_fraction=  1.0
species:coords:index
Rh1 : [ 9.65170000e+00 -9.27992948e-16  3.80336152e+00] : 32
Rh1 : [9.6517 0.     6.524 ] : 28
Sr1 : [7.9530008  2.94223332 6.524     ] : 16
!!!atention to nb coordination!!!
         [1.9262752079273266, 2.0223796182363807, 2.4343986624925686]
         [1.9262752079273273, 2.02237961823638, 2.434398662492567]


**isite= 69
O1 : [ 0.84162824  1.35576774 10.562356  ]

ce_symbol  = S:5
ce_fraction=  0.9952643898917309
species:coords:index
Rh1 : [ 0.          0.         11.79761016] : 29
Sr1 : [-1.4284516   2.7862058  10.87333333] : 3
Sr1 : [ 3.1271508  -0.15602752 10.87333333] : 5
Rh1 : [0.         0.         9.24463848] : 31
Sr1 : [1.56502316 2.86171197 8.69866667] : 13
!!!atention to nb coordination!!!
         [2.017993335133324, 2.70113354237727, 2.7578696847480395, 2.069498423135459, 2.502899551973878]
         [2.0179933351333226, 2.7011335423772698, 2.75786968474804, 2.0694984231354603, 2.502899551973879]

ce_symbol  = TS:3
ce_fraction=  0.004735610108268979
species:coords:index
Rh1 : [ 0.          0.         11.79761016] : 29
Rh1 : [0.         0.         9.24463848] : 31
Sr1 : [1.56502316 2.86171197 8.69866667] : 13
!!!atention to nb coordination!!!
         [2.017993335133324, 2.069498423135459, 2.502899551973878]
         [2.0179933351333226, 2.0694984231354603, 2.502899551973879]


**isite= 70
O1 : [ 8.05675658  0.05098757 10.562356  ]

ce_symbol  = S:5
ce_fraction=  0.9952643898917314
species:coords:index
Sr1 : [ 7.9530008  -2.63017827 10.87333333] : 4
Sr1 : [ 6.39087315 -0.07550618  8.69866667] : 14
Rh1 : [ 9.6517      0.         11.79761016] : 29
Rh1 : [9.6517     0.         9.24463848] : 31
Sr1 : [ 8.2232484   2.7862058  10.87333333] : 3
!!!atention to nb coordination!!!
         [2.7011335423772707, 2.502899551973879, 2.0179933351333235, 2.0694984231354585, 2.7578696847480395]
         [2.7011335423772698, 2.50289955197388, 2.017993335133322, 2.06949842313546, 2.757869684748039]

ce_symbol  = TS:3
ce_fraction=  0.004735610108268562
species:coords:index
Sr1 : [ 6.39087315 -0.07550618  8.69866667] : 14
Rh1 : [ 9.6517      0.         11.79761016] : 29
Rh1 : [9.6517     0.         9.24463848] : 31
!!!atention to nb coordination!!!
         [2.502899551973879, 2.0179933351333235, 2.0694984231354585]
         [2.50289955197388, 2.017993335133322, 2.06949842313546]


**isite= 71
O1 : [ 5.57916518  6.95186208 10.562356  ]

ce_symbol  = S:5
ce_fraction=  0.9952643898917314
species:coords:index
Rh1 : [4.82585    8.35861739 9.24463848] : 31
Rh1 : [ 4.82585     8.35861739 11.79761016] : 29
Sr1 : [ 3.1271508   5.72843912 10.87333333] : 4
Sr1 : [6.52165369 5.57241159 8.69866667] : 0
Sr1 : [ 7.9530008   8.20258987 10.87333333] : 5
!!!atention to nb coordination!!!
         [2.069498423135459, 2.0179933351333235, 2.757869684748037, 2.5028995519738784, 2.7011335423772724]
         [2.0694984231354603, 2.0179933351333226, 2.757869684748037, 2.5028995519738797, 2.7011335423772733]

ce_symbol  = TS:3
ce_fraction=  0.004735610108268662
species:coords:index
Rh1 : [4.82585    8.35861739 9.24463848] : 31
Rh1 : [ 4.82585     8.35861739 11.79761016] : 29
Sr1 : [6.52165369 5.57241159 8.69866667] : 0
!!!atention to nb coordination!!!
         [2.069498423135459, 2.0179933351333235, 2.5028995519738784]
         [2.0694984231354603, 2.0179933351333226, 2.5028995519738797]


**isite= 72
O1 : [0.75331518 1.40675531 2.485644  ]

ce_symbol  = S:5
ce_fraction=  0.9952643898917312
species:coords:index
Rh1 : [ 5.35776978e-16 -9.27992948e-16  1.25038984e+00] : 30
Sr1 : [-1.6986992   2.63017827  2.17466667] : 11
Rh1 : [ 5.35776978e-16 -9.27992948e-16  3.80336152e+00] : 32
Sr1 : [1.69580369 2.7862058  4.34933333] : 12
Sr1 : [3.1271508  0.15602752 2.17466667] : 10
!!!atention to nb coordination!!!
         [2.017993335133321, 2.757869684748038, 2.0694984231354616, 2.5028995519738815, 2.7011335423772738]
         [2.017993335133321, 2.757869684748038, 2.0694984231354607, 2.5028995519738806, 2.7011335423772738]

ce_symbol  = TS:3
ce_fraction=  0.004735610108268861
species:coords:index
Rh1 : [ 5.35776978e-16 -9.27992948e-16  1.25038984e+00] : 30
Rh1 : [ 5.35776978e-16 -9.27992948e-16  3.80336152e+00] : 32
Sr1 : [1.69580369 2.7862058  4.34933333] : 12
!!!atention to nb coordination!!!
         [2.017993335133321, 2.0694984231354616, 2.5028995519738815]
         [2.017993335133321, 2.0694984231354607, 2.5028995519738806]


**isite= 73
O1 : [3.23090657 8.30762982 2.485644  ]

ce_symbol  = S:5
ce_fraction=  0.9952643898917315
species:coords:index
Sr1 : [3.3973984  5.57241159 2.17466667] : 9
Sr1 : [1.56502316 8.43412357 4.34933333] : 7
Rh1 : [4.82585    8.35861739 3.80336152] : 32
Rh1 : [4.82585    8.35861739 1.25038984] : 30
Sr1 : [ 3.1271508  10.98879566  2.17466667] : 11
!!!atention to nb coordination!!!
         [2.7578696847480386, 2.50289955197388, 2.0694984231354634, 2.0179933351333226, 2.70113354237727]
         [2.757869684748039, 2.50289955197388, 2.069498423135463, 2.0179933351333226, 2.70113354237727]

ce_symbol  = TS:3
ce_fraction=  0.004735610108268467
species:coords:index
Sr1 : [1.56502316 8.43412357 4.34933333] : 7
Rh1 : [4.82585    8.35861739 3.80336152] : 32
Rh1 : [4.82585    8.35861739 1.25038984] : 30
!!!atention to nb coordination!!!
         [2.50289955197388, 2.0694984231354634, 2.0179933351333226]
         [2.50289955197388, 2.069498423135463, 2.0179933351333226]


**isite= 74
O1 : [-3.98422176  7.00284965  2.485644  ]

ce_symbol  = S:5
ce_fraction=  0.9952643898917307
species:coords:index
Rh1 : [-4.82585     8.35861739  3.80336152] : 32
Rh1 : [-4.82585     8.35861739  1.25038984] : 30
Sr1 : [-3.26082684  5.49690542  4.34933333] : 8
Sr1 : [-6.2543016   5.57241159  2.17466667] : 9
Sr1 : [-1.6986992   8.51464491  2.17466667] : 10
!!!atention to nb coordination!!!
         [2.0694984231354603, 2.0179933351333195, 2.502899551973882, 2.7011335423772684, 2.7578696847480413]
         [2.0694984231354594, 2.0179933351333195, 2.5028995519738815, 2.70113354237727, 2.7578696847480413]

ce_symbol  = TS:3
ce_fraction=  0.004735610108269169
species:coords:index
Rh1 : [-4.82585     8.35861739  3.80336152] : 32
Rh1 : [-4.82585     8.35861739  1.25038984] : 30
Sr1 : [-3.26082684  5.49690542  4.34933333] : 8
!!!atention to nb coordination!!!
         [2.0694984231354603, 2.0179933351333195, 2.502899551973882]
         [2.0694984231354594, 2.0179933351333195, 2.5028995519738815]


**isite= 75
O1 : [6.4087288  2.7862058  4.34933333]


**isite= 76
O1 : [-0.7914394   6.94322485  8.69866667]


**isite= 77
O1 : [-0.7914394   4.20159834  8.69866667]

END

