cif name= ./1530637.cif
./1530637.cif
Full Formula (Y16 Mo16 O56)
Mo1 : [3.83625 8.95125 1.27875] : 22
Mo1 : [1.27875 6.39375 1.27875] : 20
Y1 : [ 1.27875  8.95125 -1.27875] : 5
Y1 : [ 3.83625  6.39375 -1.27875] : 7
!!!atention to nb coordination!!!
         [2.021020324191719, 2.021020324191719, 2.4515579762257307, 2.4515579762257307]
         [2.021020324191719, 2.021020324191719, 2.45155797622573, 2.45155797622573]


**isite= 58
O1 : [5.115    5.115    2.933964]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [3.83625 6.39375 3.83625] : 23
Y1 : [6.39375 6.39375 1.27875] : 12
Mo1 : [6.39375 3.83625 3.83625] : 29
Y1 : [3.83625 3.83625 1.27875] : 6


**isite= 59
O1 : [5.115    5.115    7.296036]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [3.83625 6.39375 8.95125] : 7
Mo1 : [6.39375 6.39375 6.39375] : 28
Mo1 : [3.83625 3.83625 6.39375] : 18
Y1 : [6.39375 3.83625 8.95125] : 9


**isite= 60
O1 : [0. 0. 0.]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [-1.27875  1.27875 -1.27875] : 11
Y1 : [ 1.27875 -1.27875 -1.27875] : 5
Y1 : [-1.27875 -1.27875  1.27875] : 10
Y1 : [1.27875 1.27875 1.27875] : 0
!!!atention to nb coordination!!!
         [2.2148599701787024, 2.2148599701787024, 2.2148599701787024, 2.214859970178702]
         [2.214859970178702, 2.214859970178702, 2.214859970178702, 2.214859970178702]


**isite= 61
O1 : [7.6725 2.5575 7.6725]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [8.95125 1.27875 8.95125] : 11
Y1 : [6.39375 3.83625 8.95125] : 9
Y1 : [8.95125 3.83625 6.39375] : 14
Y1 : [6.39375 1.27875 6.39375] : 8


**isite= 62
O1 : [9.853536 2.5575   2.5575  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [8.95125 1.27875 3.83625] : 27
Mo1 : [8.95125 3.83625 1.27875] : 26
Y1 : [11.50875  1.27875  1.27875] : 0
Y1 : [11.50875  3.83625  3.83625] : 1


**isite= 63
O1 : [0.       7.296036 0.      ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [-1.27875  8.95125  1.27875] : 10
Mo1 : [-1.27875  6.39375 -1.27875] : 31
Mo1 : [1.27875 6.39375 1.27875] : 20
Y1 : [ 1.27875  8.95125 -1.27875] : 5
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.0210203241917197, 2.021020324191719, 2.4515579762257302]
         [2.45155797622573, 2.021020324191719, 2.021020324191719, 2.45155797622573]


**isite= 64
O1 : [0.376464 2.5575   7.6725  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [1.27875 3.83625 8.95125] : 21
Y1 : [-1.27875  1.27875  8.95125] : 11
Mo1 : [1.27875 1.27875 6.39375] : 16
Y1 : [-1.27875  3.83625  6.39375] : 14


**isite= 65
O1 : [0.       2.933964 0.      ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [-1.27875  1.27875 -1.27875] : 11
Y1 : [1.27875 1.27875 1.27875] : 0
Mo1 : [ 1.27875  3.83625 -1.27875] : 21
Mo1 : [-1.27875  3.83625  1.27875] : 26
!!!atention to nb coordination!!!
         [2.4515579762257307, 2.4515579762257302, 2.0210203241917193, 2.0210203241917193]
         [2.4515579762257302, 2.4515579762257302, 2.0210203241917193, 2.0210203241917193]


**isite= 66
O1 : [7.6725   9.853536 7.6725  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [6.39375 8.95125 8.95125] : 25
Y1 : [ 8.95125 11.50875  8.95125] : 11
Mo1 : [8.95125 8.95125 6.39375] : 30
Y1 : [ 6.39375 11.50875  6.39375] : 8


**isite= 67
O1 : [8.048964 0.       5.115   ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [ 8.95125 -1.27875  6.39375] : 30
Mo1 : [8.95125 1.27875 3.83625] : 27
Y1 : [6.39375 1.27875 6.39375] : 8
Y1 : [ 6.39375 -1.27875  3.83625] : 13
!!!atention to nb coordination!!!
         [2.0210203241917197, 2.021020324191719, 2.4515579762257302, 2.4515579762257302]
         [2.0210203241917193, 2.021020324191719, 2.4515579762257302, 2.45155797622573]


**isite= 68
O1 : [7.6725   5.491464 7.6725  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [6.39375 3.83625 8.95125] : 9
Mo1 : [8.95125 6.39375 8.95125] : 31
Mo1 : [6.39375 6.39375 6.39375] : 28
Y1 : [8.95125 3.83625 6.39375] : 14


**isite= 69
O1 : [7.296036 0.       0.      ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [6.39375 1.27875 1.27875] : 24
Mo1 : [ 6.39375 -1.27875 -1.27875] : 25
Y1 : [ 8.95125 -1.27875  1.27875] : 10
Y1 : [ 8.95125  1.27875 -1.27875] : 11
!!!atention to nb coordination!!!
         [2.021020324191719, 2.0210203241917197, 2.4515579762257302, 2.4515579762257302]
         [2.021020324191719, 2.021020324191719, 2.45155797622573, 2.45155797622573]


**isite= 70
O1 : [7.6725   2.5575   4.738536]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [8.95125 3.83625 6.39375] : 14
Mo1 : [8.95125 1.27875 3.83625] : 27
Y1 : [6.39375 1.27875 6.39375] : 8
Mo1 : [6.39375 3.83625 3.83625] : 29
!!!atention to nb coordination!!!
         [2.4515579762257307, 2.021020324191719, 2.4515579762257307, 2.021020324191719]
         [2.4515579762257302, 2.021020324191719, 2.4515579762257302, 2.021020324191719]


**isite= 71
O1 : [7.6725   2.5575   0.376464]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [ 8.95125  1.27875 -1.27875] : 11
Y1 : [ 6.39375  3.83625 -1.27875] : 9
Mo1 : [6.39375 1.27875 1.27875] : 24
Mo1 : [8.95125 3.83625 1.27875] : 26
!!!atention to nb coordination!!!
         [2.4515579762257307, 2.4515579762257307, 2.021020324191719, 2.021020324191719]
         [2.45155797622573, 2.45155797622573, 2.021020324191719, 2.021020324191719]


**isite= 72
O1 : [0.       0.       2.933964]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [ 1.27875 -1.27875  3.83625] : 17
Y1 : [-1.27875 -1.27875  1.27875] : 10
Y1 : [1.27875 1.27875 1.27875] : 0
Mo1 : [-1.27875  1.27875  3.83625] : 27
!!!atention to nb coordination!!!
         [2.0210203241917193, 2.4515579762257307, 2.4515579762257302, 2.0210203241917193]
         [2.0210203241917193, 2.4515579762257302, 2.4515579762257302, 2.0210203241917193]


**isite= 73
O1 : [0.       0.       7.296036]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [-1.27875  1.27875  8.95125] : 11
Mo1 : [-1.27875 -1.27875  6.39375] : 30
Y1 : [ 1.27875 -1.27875  8.95125] : 5
Mo1 : [1.27875 1.27875 6.39375] : 16
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.0210203241917197, 2.4515579762257302, 2.021020324191719]
         [2.45155797622573, 2.021020324191719, 2.45155797622573, 2.021020324191719]


**isite= 74
O1 : [0.    5.115 5.115]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [-1.27875  6.39375  3.83625] : 15
Y1 : [1.27875 3.83625 3.83625] : 1
Y1 : [-1.27875  3.83625  6.39375] : 14
Y1 : [1.27875 6.39375 6.39375] : 4


**isite= 75
O1 : [7.6725 7.6725 2.5575]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [6.39375 8.95125 3.83625] : 13
Y1 : [6.39375 6.39375 1.27875] : 12
Y1 : [8.95125 6.39375 3.83625] : 15
Y1 : [8.95125 8.95125 1.27875] : 10


**isite= 76
O1 : [9.853536 7.6725   7.6725  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [8.95125 6.39375 8.95125] : 31
Y1 : [11.50875  8.95125  8.95125] : 5
Y1 : [11.50875  6.39375  6.39375] : 4
Mo1 : [8.95125 8.95125 6.39375] : 30


**isite= 77
O1 : [0.       2.181036 5.115   ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [-1.27875  1.27875  3.83625] : 27
Y1 : [1.27875 3.83625 3.83625] : 1
Y1 : [-1.27875  3.83625  6.39375] : 14
Mo1 : [1.27875 1.27875 6.39375] : 16


**isite= 78
O1 : [0.376464 7.6725   2.5575  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [-1.27875  6.39375  3.83625] : 15
Mo1 : [1.27875 8.95125 3.83625] : 17
Mo1 : [1.27875 6.39375 1.27875] : 20
Y1 : [-1.27875  8.95125  1.27875] : 10


**isite= 79
O1 : [0.       8.048964 5.115   ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [-1.27875  8.95125  6.39375] : 30
Y1 : [1.27875 6.39375 6.39375] : 4
Mo1 : [1.27875 8.95125 3.83625] : 17
Y1 : [-1.27875  6.39375  3.83625] : 15
!!!atention to nb coordination!!!
         [2.0210203241917197, 2.4515579762257302, 2.021020324191719, 2.4515579762257302]
         [2.0210203241917193, 2.4515579762257302, 2.021020324191719, 2.45155797622573]


**isite= 80
O1 : [7.6725   4.738536 2.5575  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [6.39375 6.39375 1.27875] : 12
Mo1 : [8.95125 3.83625 1.27875] : 26
Y1 : [8.95125 6.39375 3.83625] : 15
Mo1 : [6.39375 3.83625 3.83625] : 29


**isite= 81
O1 : [8.048964 5.115    0.      ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [ 8.95125  6.39375 -1.27875] : 31
Y1 : [6.39375 6.39375 1.27875] : 12
Y1 : [ 6.39375  3.83625 -1.27875] : 9
Mo1 : [8.95125 3.83625 1.27875] : 26
!!!atention to nb coordination!!!
         [2.0210203241917197, 2.4515579762257302, 2.4515579762257302, 2.021020324191719]
         [2.0210203241917193, 2.4515579762257302, 2.45155797622573, 2.021020324191719]


**isite= 82
O1 : [7.6725   0.376464 2.5575  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [6.39375 1.27875 1.27875] : 24
Y1 : [ 6.39375 -1.27875  3.83625] : 13
Mo1 : [8.95125 1.27875 3.83625] : 27
Y1 : [ 8.95125 -1.27875  1.27875] : 10


**isite= 83
O1 : [7.296036 5.115    5.115   ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [8.95125 3.83625 6.39375] : 14
Mo1 : [6.39375 3.83625 3.83625] : 29
Mo1 : [6.39375 6.39375 6.39375] : 28
Y1 : [8.95125 6.39375 3.83625] : 15


**isite= 84
O1 : [7.6725   7.6725   9.853536]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [ 8.95125  8.95125 11.50875] : 10
Y1 : [ 6.39375  6.39375 11.50875] : 12
Mo1 : [6.39375 8.95125 8.95125] : 25
Mo1 : [8.95125 6.39375 8.95125] : 31


**isite= 85
O1 : [7.6725   7.6725   5.491464]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [8.95125 8.95125 6.39375] : 30
Y1 : [6.39375 8.95125 3.83625] : 13
Y1 : [8.95125 6.39375 3.83625] : 15
Mo1 : [6.39375 6.39375 6.39375] : 28


**isite= 86
O1 : [0.       5.115    8.048964]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [1.27875 6.39375 6.39375] : 4
Y1 : [-1.27875  3.83625  6.39375] : 14
Mo1 : [-1.27875  6.39375  8.95125] : 31
Mo1 : [1.27875 3.83625 8.95125] : 21
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.4515579762257302, 2.0210203241917197, 2.021020324191719]
         [2.4515579762257302, 2.45155797622573, 2.0210203241917193, 2.021020324191719]


**isite= 87
O1 : [0.       5.115    2.181036]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [-1.27875  3.83625  1.27875] : 26
Y1 : [1.27875 3.83625 3.83625] : 1
Mo1 : [1.27875 6.39375 1.27875] : 20
Y1 : [-1.27875  6.39375  3.83625] : 15

END

