cif name= ./1536817.cif
./1536817.cif
Full Formula (In10 Mo36 O56)
O1 : [10.93437777  0.04721325  8.43817914] : 46
O1 : [8.03559693 0.06330002 7.71469571] : 86
O1 : [9.60099711 2.4804089  7.39880311] : 85
O1 : [7.72919259 2.44937762 9.64929506] : 70
!!!atention to nb coordination!!!
         [2.081757621996046, 2.1664855123469735, 2.0321840005676415, 2.1095431858238163, 2.033473772412814]
         [2.0817576219960476, 2.1664855123469735, 2.0321840005676415, 2.1095431858238163, 2.033473772412814]

ce_symbol  = T:5
ce_fraction=  9.419185445734165e-06
species:coords:index
O1 : [10.59627161  2.25500372 10.04367512] : 90
O1 : [10.93437777  0.04721325  8.43817914] : 46
O1 : [8.03559693 0.06330002 7.71469571] : 86
O1 : [9.60099711 2.4804089  7.39880311] : 85
O1 : [7.72919259 2.44937762 9.64929506] : 70
!!!atention to nb coordination!!!
         [2.081757621996046, 2.1664855123469735, 2.0321840005676415, 2.1095431858238163, 2.033473772412814]
         [2.0817576219960476, 2.1664855123469735, 2.0321840005676415, 2.1095431858238163, 2.033473772412814]


**isite= 43
Mo1 : [1.24004712 5.9278327  5.57843799]

ce_symbol  = S:5
ce_fraction=  0.9999905808145543
species:coords:index
O1 : [-0.52899994  4.80661325  6.13251284] : 47
O1 : [2.36978091 4.82270002 6.85599627] : 87
O1 : [0.80438073 7.2398089  7.17188887] : 84
O1 : [-0.19089377  7.01440372  4.52701686] : 91
O1 : [2.67618525 7.20877762 4.92139692] : 71
!!!atention to nb coordination!!!
         [2.166485512346972, 2.0321840005676406, 2.1095431858238154, 2.081757621996047, 2.033473772412816]
         [2.166485512346972, 2.032184000567641, 2.1095431858238154, 2.0817576219960467, 2.0334737724128154]

ce_symbol  = T:5
ce_fraction=  9.419185445734397e-06
species:coords:index
O1 : [-0.52899994  4.80661325  6.13251284] : 47
O1 : [2.36978091 4.82270002 6.85599627] : 87
O1 : [0.80438073 7.2398089  7.17188887] : 84
O1 : [-0.19089377  7.01440372  4.52701686] : 91
O1 : [2.67618525 7.20877762 4.92139692] : 71
!!!atention to nb coordination!!!
         [2.166485512346972, 2.0321840005676406, 2.1095431858238154, 2.081757621996047, 2.033473772412816]
         [2.166485512346972, 2.032184000567641, 2.1095431858238154, 2.0817576219960467, 2.0334737724128154]


**isite= 44
Mo1 : [2.18202117 8.3503673  0.72154067]

ce_symbol  = S:5
ce_fraction=  0.9999905808145543
species:coords:index
O1 : [3.31175496 9.45549998 1.99909894] : 88
O1 : [3.6181593  7.06942238 0.0644996 ] : 72
O1 : [1.74635478 7.0383911  2.31499154] : 83
O1 : [ 0.75108029  7.26379628 -0.32988047] : 92
O1 : [0.41297412 9.47158675 1.27561551] : 48
!!!atention to nb coordination!!!
         [2.0321840005676424, 2.033473772412815, 2.109543185823814, 2.081757621996046, 2.166485512346973]
         [2.0321840005676415, 2.0334737724128154, 2.109543185823815, 2.081757621996047, 2.1664855123469717]

ce_symbol  = T:5
ce_fraction=  9.419185445734155e-06
species:coords:index
O1 : [3.31175496 9.45549998 1.99909894] : 88
O1 : [3.6181593  7.06942238 0.0644996 ] : 72
O1 : [1.74635478 7.0383911  2.31499154] : 83
O1 : [ 0.75108029  7.26379628 -0.32988047] : 92
O1 : [0.41297412 9.47158675 1.27561551] : 48
!!!atention to nb coordination!!!
         [2.0321840005676424, 2.033473772412815, 2.109543185823814, 2.081757621996046, 2.166485512346973]
         [2.0321840005676415, 2.0334737724128154, 2.109543185823815, 2.081757621996047, 2.1664855123469717]


**isite= 45
Mo1 : [10.10730477  3.5909673   4.13535666]

ce_symbol  = S:5
ce_fraction=  0.9999905808145543
species:coords:index
O1 : [11.53824566  2.50439628  5.18677779] : 93
O1 : [8.67116664 2.31002238 4.79239773] : 73
O1 : [8.97757099 4.69609998 2.85779839] : 89
O1 : [10.54297116  2.2789911   2.54190578] : 82
O1 : [11.87635183  4.71218675  3.58128181] : 49
!!!atention to nb coordination!!!
         [2.081757621996047, 2.033473772412815, 2.0321840005676424, 2.1095431858238154, 2.1664855123469726]
         [2.0817576219960467, 2.0334737724128154, 2.0321840005676424, 2.1095431858238154, 2.166485512346972]

ce_symbol  = T:5
ce_fraction=  9.419185445734192e-06
species:coords:index
O1 : [11.53824566  2.50439628  5.18677779] : 93
O1 : [8.67116664 2.31002238 4.79239773] : 73
O1 : [8.97757099 4.69609998 2.85779839] : 89
O1 : [10.54297116  2.2789911   2.54190578] : 82
O1 : [11.87635183  4.71218675  3.58128181] : 49
!!!atention to nb coordination!!!
         [2.081757621996047, 2.033473772412815, 2.0321840005676424, 2.1095431858238154, 2.1664855123469726]
         [2.0817576219960467, 2.0334737724128154, 2.0321840005676424, 2.1095431858238154, 2.166485512346972]


**isite= 46
O1 : [10.93437777  0.04721325  8.43817914]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
Mo1 : [12.64495665 -1.06886605  7.81785621] : 36
Mo1 : [9.16533072 1.1684327  8.99225399] : 42
Mo1 : [12.3855575   1.2128855   9.39343371] : 12
Mo1 : [10.30914628 -1.2128855  10.0341556 ] : 10
!!!atention to nb coordination!!!
         [2.1345991704474354, 2.1664855123469735, 2.092182037065935, 2.127417243791946]
         [2.134599170447434, 2.1664855123469735, 2.092182037065935, 2.127417243791945]


**isite= 47
O1 : [-0.52899994  4.80661325  6.13251284]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
Mo1 : [-2.23957881  3.69053395  6.75283577] : 37
Mo1 : [0.09623156 3.5465145  4.53653638] : 11
Mo1 : [1.24004712 5.9278327  5.57843799] : 43
Mo1 : [-1.98017966  5.9722855   5.17725827] : 13
!!!atention to nb coordination!!!
         [2.1345991704474336, 2.1274172437919447, 2.166485512346973, 2.0921820370659345]
         [2.134599170447435, 2.127417243791945, 2.166485512346972, 2.092182037065935]


**isite= 48
O1 : [0.41297412 9.47158675 1.27561551]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
Mo1 : [2.18202117 8.3503673  0.72154067] : 44
Mo1 : [-1.29760476 10.58766605  1.89593844] : 34
Mo1 : [ 1.03820561 10.7316855  -0.32036095] : 12
Mo1 : [-1.03820561  8.3059145   0.32036095] : 10
!!!atention to nb coordination!!!
         [2.166485512346971, 2.134599170447435, 2.127417243791945, 2.0921820370659368]
         [2.1664855123469717, 2.1345991704474354, 2.127417243791945, 2.092182037065935]


**isite= 49
O1 : [11.87635183  4.71218675  3.58128181]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
Mo1 : [13.5869307   5.82826605  2.96095889] : 35
Mo1 : [13.32753156  3.5465145   4.53653638] : 11
Mo1 : [11.25112034  5.9722855   5.17725827] : 13
Mo1 : [10.10730477  3.5909673   4.13535666] : 45
!!!atention to nb coordination!!!
         [2.1345991704474367, 2.092182037065935, 2.1274172437919447, 2.1664855123469717]
         [2.1345991704474363, 2.092182037065935, 2.1274172437919447, 2.166485512346972]


**isite= 50
O1 : [8.94840029 9.42323125 3.08529546]

ce_symbol  = TY:3
ce_fraction=  0.965408901828942
species:coords:index
Mo1 : [10.45848587  8.24994396  2.31576865] : 38
Mo1 : [7.84987578 8.27297946 1.78189849] : 30
Mo1 : [ 9.22012445 10.60784591  1.42297378] : 22
!!!atention to nb coordination!!!
         [2.061342527675241, 2.056375194520912, 2.0592375474286286]
         [2.061342527675241, 2.0563751945209128, 2.0592375474286286]

ce_symbol  = T:4
ce_fraction=  0.034591098171057995
species:coords:index
In1 : [8.22658481 9.44198328 5.42418293] : 4
Mo1 : [10.45848587  8.24994396  2.31576865] : 38
Mo1 : [7.84987578 8.27297946 1.78189849] : 30
Mo1 : [ 9.22012445 10.60784591  1.42297378] : 22
!!!atention to nb coordination!!!
         [2.447807968200685, 2.061342527675241, 2.056375194520912, 2.0592375474286286]
         [2.447807968200685, 2.061342527675241, 2.0563751945209128, 2.0592375474286286]


**isite= 51
O1 : [3.34092566 4.66383125 1.77160187]

ce_symbol  = TY:3
ce_fraction=  0.9654089018289446
species:coords:index
Mo1 : [4.43945017 3.51357946 3.07499884] : 31
Mo1 : [1.83084008 3.49054396 2.54112868] : 39
Mo1 : [3.06920149 5.84844591 3.43392355] : 23
!!!atention to nb coordination!!!
         [2.0563751945209128, 2.0613425276752415, 2.0592375474286286]
         [2.056375194520913, 2.0613425276752415, 2.059237547428628]

ce_symbol  = T:4
ce_fraction=  0.03459109817105552
species:coords:index
In1 : [ 4.06274113  4.68258328 -0.56728561] : 5
Mo1 : [4.43945017 3.51357946 3.07499884] : 31
Mo1 : [1.83084008 3.49054396 2.54112868] : 39
Mo1 : [3.06920149 5.84844591 3.43392355] : 23
!!!atention to nb coordination!!!
         [2.447807968200684, 2.0563751945209128, 2.0613425276752415, 2.0592375474286286]
         [2.447807968200685, 2.056375194520913, 2.0613425276752415, 2.059237547428628]


**isite= 52
O1 : [2.3989516  0.09556875 6.6284992 ]

ce_symbol  = TY:3
ce_fraction=  0.965408901828942
species:coords:index
Mo1 : [3.49747611 1.24582054 7.93189616] : 32
Mo1 : [0.88886603 1.26885604 7.39802601] : 40
Mo1 : [ 2.12722744 -1.08904591  8.29082087] : 24
!!!atention to nb coordination!!!
         [2.0563751945209123, 2.0613425276752415, 2.0592375474286277]
         [2.0563751945209123, 2.061342527675241, 2.0592375474286273]

ce_symbol  = T:4
ce_fraction=  0.034591098171058016
species:coords:index
Mo1 : [3.49747611 1.24582054 7.93189616] : 32
In1 : [3.12076708 0.07681672 4.28961172] : 6
Mo1 : [0.88886603 1.26885604 7.39802601] : 40
Mo1 : [ 2.12722744 -1.08904591  8.29082087] : 24
!!!atention to nb coordination!!!
         [2.0563751945209123, 2.447807968200686, 2.0613425276752415, 2.0592375474286277]
         [2.0563751945209123, 2.447807968200686, 2.061342527675241, 2.0592375474286273]


**isite= 53
O1 : [8.00642624 4.85496875 7.94219278]

ce_symbol  = TY:3
ce_fraction=  0.9654089018289436
species:coords:index
Mo1 : [8.2781504  3.67035409 6.27987111] : 25
Mo1 : [9.51651181 6.02825604 7.17266597] : 41
Mo1 : [6.90790173 6.00522054 6.63879582] : 33
!!!atention to nb coordination!!!
         [2.0592375474286277, 2.061342527675239, 2.056375194520913]
         [2.059237547428628, 2.0613425276752397, 2.0563751945209128]

ce_symbol  = T:4
ce_fraction=  0.034591098171056475
species:coords:index
Mo1 : [8.2781504  3.67035409 6.27987111] : 25
Mo1 : [9.51651181 6.02825604 7.17266597] : 41
In1 : [ 7.28461076  4.83621672 10.28108026] : 7
Mo1 : [6.90790173 6.00522054 6.63879582] : 33
!!!atention to nb coordination!!!
         [2.0592375474286277, 2.061342527675239, 2.447807968200686, 2.056375194520913]
         [2.059237547428628, 2.0613425276752397, 2.447807968200685, 2.0563751945209128]


**isite= 54
O1 : [5.19597071 0.23777962 7.30224799]

ce_symbol  = TY:3
ce_fraction=  0.9906705928691714
species:coords:index
Mo1 : [6.55326458 1.23116159 8.52191205] : 26
Mo1 : [3.49747611 1.24582054 7.93189616] : 32
Mo1 : [ 4.87880425 -1.03535988  8.87277431] : 16
!!!atention to nb coordination!!!
         [2.077651271184049, 2.073038160364834, 2.0464680973393317]
         [2.0776512711840494, 2.0730381603648333, 2.046468097339331]

ce_symbol  = T:4
ce_fraction=  0.00932940713082878
species:coords:index
In1 : [5.67367595 0.         4.85689733] : 8
Mo1 : [6.55326458 1.23116159 8.52191205] : 26
Mo1 : [3.49747611 1.24582054 7.93189616] : 32
Mo1 : [ 4.87880425 -1.03535988  8.87277431] : 16
!!!atention to nb coordination!!!
         [2.5028945884041205, 2.077651271184049, 2.073038160364834, 2.0464680973393317]
         [2.5028945884041205, 2.0776512711840494, 2.0730381603648333, 2.046468097339331]


**isite= 55
O1 : [5.20940713 4.99717962 7.26844399]

ce_symbol  = TY:3
ce_fraction=  0.9906705928691723
species:coords:index
Mo1 : [6.90790173 6.00522054 6.63879582] : 33
Mo1 : [3.85211325 5.99056159 6.04877993] : 27
Mo1 : [5.52657359 3.72404012 5.69791767] : 17
!!!atention to nb coordination!!!
         [2.0730381603648333, 2.0776512711840494, 2.0464680973393308]
         [2.073038160364833, 2.077651271184049, 2.0464680973393308]

ce_symbol  = T:4
ce_fraction=  0.009329407130827855
species:coords:index
Mo1 : [6.90790173 6.00522054 6.63879582] : 33
In1 : [4.73170189 4.7594     9.71379465] : 9
Mo1 : [3.85211325 5.99056159 6.04877993] : 27
Mo1 : [5.52657359 3.72404012 5.69791767] : 17
!!!atention to nb coordination!!!
         [2.0730381603648333, 2.502894588404121, 2.0776512711840494, 2.0464680973393308]
         [2.073038160364833, 2.502894588404121, 2.077651271184049, 2.0464680973393308]


**isite= 56
O1 : [6.15138118 9.28102038 2.41154666]

ce_symbol  = TY:3
ce_fraction=  0.990670592869172
species:coords:index
Mo1 : [ 6.46854765 10.55415988  0.84102034] : 14
Mo1 : [4.79408731 8.28763841 1.1918826 ] : 28
Mo1 : [7.84987578 8.27297946 1.78189849] : 30
!!!atention to nb coordination!!!
         [2.046468097339331, 2.077651271184047, 2.073038160364832]
         [2.046468097339331, 2.0776512711840485, 2.073038160364833]

ce_symbol  = T:4
ce_fraction=  0.009329407130828037
species:coords:index
Mo1 : [ 6.46854765 10.55415988  0.84102034] : 14
Mo1 : [4.79408731 8.28763841 1.1918826 ] : 28
In1 : [5.67367595 9.5188     4.85689733] : 8
Mo1 : [7.84987578 8.27297946 1.78189849] : 30
!!!atention to nb coordination!!!
         [2.046468097339331, 2.077651271184047, 2.5028945884041214, 2.073038160364832]
         [2.046468097339331, 2.0776512711840485, 2.5028945884041214, 2.073038160364833]


**isite= 57
O1 : [6.13794477 4.52162038 2.44535067]

ce_symbol  = TY:3
ce_fraction=  0.9906705928691717
species:coords:index
Mo1 : [5.8207783  5.79475988 4.01587699] : 15
Mo1 : [4.43945017 3.51357946 3.07499884] : 31
Mo1 : [7.49523864 3.52823841 3.66501472] : 29
!!!atention to nb coordination!!!
         [2.046468097339331, 2.0730381603648333, 2.077651271184049]
         [2.0464680973393308, 2.073038160364834, 2.0776512711840485]

ce_symbol  = T:4
ce_fraction=  0.009329407130828377
species:coords:index
Mo1 : [5.8207783  5.79475988 4.01587699] : 15
Mo1 : [4.43945017 3.51357946 3.07499884] : 31
In1 : [6.61565 4.7594  0.     ] : 9
Mo1 : [7.49523864 3.52823841 3.66501472] : 29
!!!atention to nb coordination!!!
         [2.046468097339331, 2.0730381603648333, 2.5028945884041214, 2.077651271184049]
         [2.0464680973393308, 2.073038160364834, 2.502894588404121, 2.0776512711840485]


**isite= 58
O1 : [11.75303275  9.40447921  3.51717077]

ce_symbol  = T:4
ce_fraction=  0.7943371105027547
species:coords:index
Mo1 : [11.93369524 10.58766605  1.89593844] : 34
Mo1 : [10.45848587  8.24994396  2.31576865] : 38
In1 : [13.74594539  9.08064964  4.21636971] : 2
In1 : [10.8327065   9.95695036  5.49742495] : 0
!!!atention to nb coordination!!!
         [2.0151834398031583, 2.110016668383088, 2.1366903299502673, 2.2524722840378066]
         [2.0151834398031583, 2.110016668383088, 2.1366903299502678, 2.2524722840378066]

ce_symbol  = SS:4
ce_fraction=  0.20566288949724532
species:coords:index
Mo1 : [11.93369524 10.58766605  1.89593844] : 34
Mo1 : [10.45848587  8.24994396  2.31576865] : 38
In1 : [13.74594539  9.08064964  4.21636971] : 2
In1 : [10.8327065   9.95695036  5.49742495] : 0
!!!atention to nb coordination!!!
         [2.0151834398031583, 2.110016668383088, 2.1366903299502673, 2.2524722840378066]
         [2.0151834398031583, 2.110016668383088, 2.1366903299502678, 2.2524722840378066]


**isite= 59
O1 : [0.5362932  4.64507921 1.33972656]

ce_symbol  = T:4
ce_fraction=  0.7943371105027552
species:coords:index
In1 : [ 1.45661945  5.19755036 -0.64052762] : 1
In1 : [-1.45661945  4.32124964  0.64052762] : 3
Mo1 : [1.83084008 3.49054396 2.54112868] : 39
Mo1 : [0.3556307  5.82826605 2.96095889] : 35
!!!atention to nb coordination!!!
         [2.2524722840378066, 2.1366903299502717, 2.110016668383086, 2.0151834398031596]
         [2.2524722840378066, 2.1366903299502695, 2.1100166683830865, 2.015183439803159]

ce_symbol  = SS:4
ce_fraction=  0.20566288949724482
species:coords:index
In1 : [ 1.45661945  5.19755036 -0.64052762] : 1
In1 : [-1.45661945  4.32124964  0.64052762] : 3
Mo1 : [1.83084008 3.49054396 2.54112868] : 39
Mo1 : [0.3556307  5.82826605 2.96095889] : 35
!!!atention to nb coordination!!!
         [2.2524722840378066, 2.1366903299502717, 2.110016668383086, 2.0151834398031596]
         [2.2524722840378066, 2.1366903299502695, 2.1100166683830865, 2.015183439803159]


**isite= 60
O1 : [-0.40568086  0.11432079  6.19662389]

ce_symbol  = T:4
ce_fraction=  0.794337110502757
species:coords:index
In1 : [ 0.51464539 -0.43815036  4.21636971] : 2
In1 : [-2.3985935   0.43815036  5.49742495] : 0
Mo1 : [0.88886603 1.26885604 7.39802601] : 40
Mo1 : [-0.58634335 -1.06886605  7.81785621] : 36
!!!atention to nb coordination!!!
         [2.2524722840378053, 2.136690329950269, 2.110016668383087, 2.0151834398031587]
         [2.2524722840378057, 2.1366903299502695, 2.110016668383087, 2.015183439803159]

ce_symbol  = SS:4
ce_fraction=  0.20566288949724304
species:coords:index
In1 : [ 0.51464539 -0.43815036  4.21636971] : 2
In1 : [-2.3985935   0.43815036  5.49742495] : 0
Mo1 : [0.88886603 1.26885604 7.39802601] : 40
Mo1 : [-0.58634335 -1.06886605  7.81785621] : 36
!!!atention to nb coordination!!!
         [2.2524722840378053, 2.136690329950269, 2.110016668383087, 2.0151834398031587]
         [2.2524722840378057, 2.1366903299502695, 2.110016668383087, 2.015183439803159]


**isite= 61
O1 : [10.81105869  4.87372079  8.37406809]

ce_symbol  = T:4
ce_fraction=  0.7943371105027527
species:coords:index
Mo1 : [9.51651181 6.02825604 7.17266597] : 41
Mo1 : [10.99172119  3.69053395  6.75283577] : 37
In1 : [12.80397134  5.19755036  9.07326703] : 1
In1 : [ 9.89073244  4.32124964 10.35432227] : 3
!!!atention to nb coordination!!!
         [2.1100166683830888, 2.015183439803158, 2.1366903299502695, 2.2524722840378075]
         [2.1100166683830874, 2.015183439803158, 2.1366903299502695, 2.2524722840378066]

ce_symbol  = SS:4
ce_fraction=  0.2056628894972473
species:coords:index
Mo1 : [9.51651181 6.02825604 7.17266597] : 41
Mo1 : [10.99172119  3.69053395  6.75283577] : 37
In1 : [12.80397134  5.19755036  9.07326703] : 1
In1 : [ 9.89073244  4.32124964 10.35432227] : 3
!!!atention to nb coordination!!!
         [2.1100166683830888, 2.015183439803158, 2.1366903299502695, 2.2524722840378075]
         [2.1100166683830874, 2.015183439803158, 2.1366903299502695, 2.2524722840378066]


**isite= 62
O1 : [4.8808263  2.35599819 9.01925834]

ce_symbol  = T:4
ce_fraction=  0.5019502008711237
species:coords:index
In1 : [4.73170189 4.7594     9.71379465] : 9
Mo1 : [6.55326458 1.23116159 8.52191205] : 26
Mo1 : [3.49747611 1.24582054 7.93189616] : 32
Mo1 : [ 4.58459954  1.03535988 10.55481499] : 14
!!!atention to nb coordination!!!
         [2.506184162272216, 2.0759721860053784, 2.08050682144494, 2.046892790882227]
         [2.506184162272215, 2.0759721860053792, 2.08050682144494, 2.046892790882227]

ce_symbol  = TY:3
ce_fraction=  0.49804979912887626
species:coords:index
Mo1 : [6.55326458 1.23116159 8.52191205] : 26
Mo1 : [3.49747611 1.24582054 7.93189616] : 32
Mo1 : [ 4.58459954  1.03535988 10.55481499] : 14
!!!atention to nb coordination!!!
         [2.0759721860053784, 2.08050682144494, 2.046892790882227]
         [2.0759721860053792, 2.08050682144494, 2.046892790882227]


**isite= 63
O1 : [5.52455154 7.11539819 5.55143364]

ce_symbol  = T:4
ce_fraction=  0.5019502008711205
species:coords:index
Mo1 : [5.8207783  5.79475988 4.01587699] : 15
In1 : [5.67367595 9.5188     4.85689733] : 8
Mo1 : [3.85211325 5.99056159 6.04877993] : 27
Mo1 : [6.90790173 6.00522054 6.63879582] : 33
!!!atention to nb coordination!!!
         [2.0468927908822265, 2.506184162272215, 2.075972186005379, 2.0805068214449394]
         [2.0468927908822274, 2.506184162272215, 2.075972186005379, 2.08050682144494]

ce_symbol  = TY:3
ce_fraction=  0.49804979912887953
species:coords:index
Mo1 : [5.8207783  5.79475988 4.01587699] : 15
Mo1 : [3.85211325 5.99056159 6.04877993] : 27
Mo1 : [6.90790173 6.00522054 6.63879582] : 33
!!!atention to nb coordination!!!
         [2.0468927908822265, 2.075972186005379, 2.0805068214449394]
         [2.0468927908822274, 2.075972186005379, 2.08050682144494]


**isite= 64
O1 : [6.46652559 7.16280181 0.69453632]

ce_symbol  = T:4
ce_fraction=  0.5019502008711184
species:coords:index
Mo1 : [ 6.76275235  8.48344012 -0.84102034] : 16
In1 : [6.61565 4.7594  0.     ] : 9
Mo1 : [4.79408731 8.28763841 1.1918826 ] : 28
Mo1 : [7.84987578 8.27297946 1.78189849] : 30
!!!atention to nb coordination!!!
         [2.046892790882226, 2.506184162272214, 2.07597218600538, 2.0805068214449407]
         [2.046892790882226, 2.506184162272215, 2.0759721860053792, 2.08050682144494]

ce_symbol  = TY:3
ce_fraction=  0.49804979912888164
species:coords:index
Mo1 : [ 6.76275235  8.48344012 -0.84102034] : 16
Mo1 : [4.79408731 8.28763841 1.1918826 ] : 28
Mo1 : [7.84987578 8.27297946 1.78189849] : 30
!!!atention to nb coordination!!!
         [2.046892790882226, 2.07597218600538, 2.0805068214449407]
         [2.046892790882226, 2.0759721860053792, 2.08050682144494]


**isite= 65
O1 : [5.82280035 2.40340181 4.16236101]

ce_symbol  = T:4
ce_fraction=  0.5019502008711164
species:coords:index
Mo1 : [5.52657359 3.72404012 5.69791767] : 17
Mo1 : [4.43945017 3.51357946 3.07499884] : 31
In1 : [5.67367595 0.         4.85689733] : 8
Mo1 : [7.49523864 3.52823841 3.66501472] : 29
!!!atention to nb coordination!!!
         [2.0468927908822274, 2.0805068214449403, 2.5061841622722145, 2.0759721860053797]
         [2.0468927908822274, 2.08050682144494, 2.5061841622722145, 2.075972186005379]

ce_symbol  = TY:3
ce_fraction=  0.4980497991288836
species:coords:index
Mo1 : [5.52657359 3.72404012 5.69791767] : 17
Mo1 : [4.43945017 3.51357946 3.07499884] : 31
Mo1 : [7.49523864 3.52823841 3.66501472] : 29
!!!atention to nb coordination!!!
         [2.0468927908822274, 2.0805068214449403, 2.0759721860053797]
         [2.0468927908822274, 2.08050682144494, 2.075972186005379]


**isite= 66
O1 : [6.45581187 7.27912155 8.23574366]

ce_symbol  = TL:3
ce_fraction=  0.6777393332877162
species:coords:index
Mo1 : [7.63832133 8.41262025 9.36876067] : 18
Mo1 : [6.90790173 6.00522054 6.63879582] : 33
Mo1 : [4.87880425 8.48344012 8.87277431] : 16
!!!atention to nb coordination!!!
         [1.9917016573719815, 2.092235984213122, 2.0840211912157356]
         [1.9917016573719815, 2.0922359842131226, 2.084021191215735]

ce_symbol  = TY:3
ce_fraction=  0.22631248363418371
species:coords:index
Mo1 : [7.63832133 8.41262025 9.36876067] : 18
Mo1 : [6.90790173 6.00522054 6.63879582] : 33
Mo1 : [4.87880425 8.48344012 8.87277431] : 16
!!!atention to nb coordination!!!
         [1.9917016573719815, 2.092235984213122, 2.0840211912157356]
         [1.9917016573719815, 2.0922359842131226, 2.084021191215735]

ce_symbol  = TS:3
ce_fraction=  0.09594818307809999
species:coords:index
Mo1 : [7.63832133 8.41262025 9.36876067] : 18
Mo1 : [6.90790173 6.00522054 6.63879582] : 33
Mo1 : [4.87880425 8.48344012 8.87277431] : 16
!!!atention to nb coordination!!!
         [1.9917016573719815, 2.092235984213122, 2.0840211912157356]
         [1.9917016573719815, 2.0922359842131226, 2.084021191215735]


**isite= 67
O1 : [3.94956597 2.51972155 6.33494832]

ce_symbol  = TL:3
ce_fraction=  0.6777393332877166
species:coords:index
Mo1 : [2.7670565  3.65322025 5.20193131] : 19
Mo1 : [3.49747611 1.24582054 7.93189616] : 32
Mo1 : [5.52657359 3.72404012 5.69791767] : 17

ce_symbol  = TY:3
ce_fraction=  0.22631248363418155
species:coords:index
Mo1 : [2.7670565  3.65322025 5.20193131] : 19
Mo1 : [3.49747611 1.24582054 7.93189616] : 32
Mo1 : [5.52657359 3.72404012 5.69791767] : 17

ce_symbol  = TS:3
ce_fraction=  0.09594818307810182
species:coords:index
Mo1 : [2.7670565  3.65322025 5.20193131] : 19
Mo1 : [3.49747611 1.24582054 7.93189616] : 32
Mo1 : [5.52657359 3.72404012 5.69791767] : 17


**isite= 68
O1 : [4.89154002 2.23967845 1.47805099]

ce_symbol  = TL:3
ce_fraction=  0.6777393332877173
species:coords:index
Mo1 : [6.46854765 1.03535988 0.84102034] : 14
Mo1 : [3.70903056 1.10617975 0.34503399] : 20
Mo1 : [4.43945017 3.51357946 3.07499884] : 31
!!!atention to nb coordination!!!
         [2.0840211912157356, 1.9917016573719803, 2.0922359842131235]
         [2.084021191215736, 1.9917016573719803, 2.092235984213123]

ce_symbol  = TY:3
ce_fraction=  0.2263124836341818
species:coords:index
Mo1 : [6.46854765 1.03535988 0.84102034] : 14
Mo1 : [3.70903056 1.10617975 0.34503399] : 20
Mo1 : [4.43945017 3.51357946 3.07499884] : 31
!!!atention to nb coordination!!!
         [2.0840211912157356, 1.9917016573719803, 2.0922359842131235]
         [2.084021191215736, 1.9917016573719803, 2.092235984213123]

ce_symbol  = TS:3
ce_fraction=  0.09594818307810084
species:coords:index
Mo1 : [6.46854765 1.03535988 0.84102034] : 14
Mo1 : [3.70903056 1.10617975 0.34503399] : 20
Mo1 : [4.43945017 3.51357946 3.07499884] : 31
!!!atention to nb coordination!!!
         [2.0840211912157356, 1.9917016573719803, 2.0922359842131235]
         [2.084021191215736, 1.9917016573719803, 2.092235984213123]


**isite= 69
O1 : [7.39778592 6.99907845 3.37884633]

ce_symbol  = TL:3
ce_fraction=  0.6777393332877151
species:coords:index
Mo1 : [5.8207783  5.79475988 4.01587699] : 15
Mo1 : [8.58029539 5.86557975 4.51186334] : 21
Mo1 : [7.84987578 8.27297946 1.78189849] : 30
!!!atention to nb coordination!!!
         [2.0840211912157347, 1.9917016573719808, 2.0922359842131244]
         [2.084021191215736, 1.9917016573719808, 2.092235984213123]

ce_symbol  = TY:3
ce_fraction=  0.22631248363418333
species:coords:index
Mo1 : [5.8207783  5.79475988 4.01587699] : 15
Mo1 : [8.58029539 5.86557975 4.51186334] : 21
Mo1 : [7.84987578 8.27297946 1.78189849] : 30
!!!atention to nb coordination!!!
         [2.0840211912157347, 1.9917016573719808, 2.0922359842131244]
         [2.084021191215736, 1.9917016573719808, 2.092235984213123]

ce_symbol  = TS:3
ce_fraction=  0.09594818307810167
species:coords:index
Mo1 : [5.8207783  5.79475988 4.01587699] : 15
Mo1 : [8.58029539 5.86557975 4.51186334] : 21
Mo1 : [7.84987578 8.27297946 1.78189849] : 30
!!!atention to nb coordination!!!
         [2.0840211912157347, 1.9917016573719808, 2.0922359842131244]
         [2.084021191215736, 1.9917016573719808, 2.092235984213123]


**isite= 70
O1 : [7.72919259 2.44937762 9.64929506]

ce_symbol  = TY:3
ce_fraction=  0.9958288879734519
species:coords:index
Mo1 : [ 7.33617634  1.08904591 11.13676843] : 22
Mo1 : [9.16533072 1.1684327  8.99225399] : 42
Mo1 : [6.55326458 1.23116159 8.52191205] : 26
!!!atention to nb coordination!!!
         [2.0536653003275993, 2.0334737724128136, 2.0341704436669743]
         [2.0536653003275993, 2.033473772412814, 2.034170443666974]

ce_symbol  = T:4
