cif name= ./1530846.cif
./1530846.cif
Full Formula (Er16 Mn16 O56)
         [1.9084471600377757, 2.4349357217196204, 1.9084471600377757, 2.4349357217196204]
         [1.9084471600377757, 2.43493572171962, 1.9084471600377757, 2.43493572171962]


**isite= 39
O1 : [2.0056125 0.        4.9375   ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [ 3.703125 -1.234375  6.171875] : 2
Mn1 : [1.234375 1.234375 6.171875] : 16
Mn1 : [ 1.234375 -1.234375  3.703125] : 17
Er1 : [3.703125 1.234375 3.703125] : 3


**isite= 40
O1 : [2.46875   2.46875   9.4118625]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [ 3.703125  3.703125 11.109375] : 6
Mn1 : [3.703125 1.234375 8.640625] : 19
Er1 : [ 1.234375  1.234375 11.109375] : 0
Mn1 : [1.234375 3.703125 8.640625] : 21


**isite= 41
O1 : [2.46875   2.46875   5.4006375]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [3.703125 1.234375 3.703125] : 3
Mn1 : [3.703125 3.703125 6.171875] : 18
Mn1 : [1.234375 1.234375 6.171875] : 16
Er1 : [1.234375 3.703125 3.703125] : 1
!!!atention to nb coordination!!!
         [2.4349357217196204, 1.9084471600377757, 1.9084471600377757, 2.4349357217196204]
         [2.43493572171962, 1.9084471600377757, 1.9084471600377757, 2.43493572171962]


**isite= 42
O1 : [4.9375    0.        7.8693875]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [3.703125 1.234375 8.640625] : 19
Mn1 : [ 6.171875 -1.234375  8.640625] : 25
Er1 : [6.171875 1.234375 6.171875] : 8
Er1 : [ 3.703125 -1.234375  6.171875] : 2
!!!atention to nb coordination!!!
         [1.9084471600377757, 1.9084471600377757, 2.4349357217196204, 2.4349357217196204]
         [1.9084471600377757, 1.9084471600377757, 2.43493572171962, 2.43493572171962]


**isite= 43
O1 : [4.9375    0.        2.0056125]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [6.171875 1.234375 1.234375] : 24
Er1 : [ 6.171875 -1.234375  3.703125] : 13
Mn1 : [ 3.703125 -1.234375  1.234375] : 22
Er1 : [3.703125 1.234375 3.703125] : 3
!!!atention to nb coordination!!!
         [1.9084471600377757, 2.4349357217196204, 1.9084471600377757, 2.4349357217196204]
         [1.9084471600377757, 2.43493572171962, 1.9084471600377757, 2.43493572171962]


**isite= 44
O1 : [4.9375 0.     4.9375]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [3.703125 1.234375 3.703125] : 3
Er1 : [6.171875 1.234375 6.171875] : 8
Er1 : [ 3.703125 -1.234375  6.171875] : 2
Er1 : [ 6.171875 -1.234375  3.703125] : 13


**isite= 45
O1 : [2.46875 2.46875 2.46875]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [3.703125 3.703125 1.234375] : 6
Er1 : [3.703125 1.234375 3.703125] : 3
Er1 : [1.234375 1.234375 1.234375] : 0
Er1 : [1.234375 3.703125 3.703125] : 1


**isite= 46
O1 : [4.4743625 7.40625   2.46875  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [3.703125 6.171875 3.703125] : 23
Mn1 : [3.703125 8.640625 1.234375] : 22
Er1 : [6.171875 6.171875 1.234375] : 12
Er1 : [6.171875 8.640625 3.703125] : 13


**isite= 47
O1 : [4.9375    2.0056125 0.       ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [ 3.703125  1.234375 -1.234375] : 19
Mn1 : [6.171875 1.234375 1.234375] : 24
Er1 : [ 6.171875  3.703125 -1.234375] : 9
Er1 : [3.703125 3.703125 1.234375] : 6
!!!atention to nb coordination!!!
         [1.9084471600377757, 1.9084471600377757, 2.4349357217196204, 2.4349357217196204]
         [1.9084471600377757, 1.9084471600377757, 2.43493572171962, 2.43493572171962]


**isite= 48
O1 : [5.4006375 7.40625   7.40625  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [6.171875 8.640625 8.640625] : 25
Er1 : [3.703125 8.640625 6.171875] : 2
Mn1 : [6.171875 6.171875 6.171875] : 28
Er1 : [3.703125 6.171875 8.640625] : 7


**isite= 49
O1 : [4.9375    7.8693875 0.       ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [3.703125 8.640625 1.234375] : 22
Er1 : [ 3.703125  6.171875 -1.234375] : 7
Mn1 : [ 6.171875  8.640625 -1.234375] : 25
Er1 : [6.171875 6.171875 1.234375] : 12
!!!atention to nb coordination!!!
         [1.9084471600377757, 2.4349357217196204, 1.9084471600377757, 2.4349357217196204]
         [1.9084471600377757, 2.43493572171962, 1.9084471600377757, 2.43493572171962]


**isite= 50
O1 : [2.46875   4.4743625 7.40625  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [3.703125 3.703125 6.171875] : 18
Er1 : [1.234375 6.171875 6.171875] : 4
Er1 : [3.703125 6.171875 8.640625] : 7
Mn1 : [1.234375 3.703125 8.640625] : 21
!!!atention to nb coordination!!!
         [1.9084471600377757, 2.4349357217196204, 2.4349357217196204, 1.9084471600377757]
         [1.9084471600377757, 2.43493572171962, 2.43493572171962, 1.9084471600377757]


**isite= 51
O1 : [2.9318875 4.9375    4.9375   ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [3.703125 6.171875 3.703125] : 23
Er1 : [1.234375 6.171875 6.171875] : 4
Mn1 : [3.703125 3.703125 6.171875] : 18
Er1 : [1.234375 3.703125 3.703125] : 1


**isite= 52
O1 : [2.46875   0.4631375 7.40625  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [ 3.703125 -1.234375  6.171875] : 2
Mn1 : [3.703125 1.234375 8.640625] : 19
Er1 : [ 1.234375 -1.234375  8.640625] : 5
Mn1 : [1.234375 1.234375 6.171875] : 16
!!!atention to nb coordination!!!
         [2.4349357217196204, 1.9084471600377757, 2.4349357217196204, 1.9084471600377757]
         [2.43493572171962, 1.9084471600377757, 2.43493572171962, 1.9084471600377757]


**isite= 53
O1 : [2.0056125 4.9375    0.       ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [1.234375 6.171875 1.234375] : 20
Mn1 : [ 1.234375  3.703125 -1.234375] : 21
Er1 : [ 3.703125  6.171875 -1.234375] : 7
Er1 : [3.703125 3.703125 1.234375] : 6


**isite= 54
O1 : [2.46875   7.40625   4.4743625]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [1.234375 6.171875 6.171875] : 4
Er1 : [3.703125 8.640625 6.171875] : 2
Mn1 : [1.234375 8.640625 3.703125] : 17
Mn1 : [3.703125 6.171875 3.703125] : 23
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.4349357217196204, 1.9084471600377757, 1.9084471600377757]
         [2.43493572171962, 2.43493572171962, 1.9084471600377757, 1.9084471600377757]


**isite= 55
O1 : [2.46875   7.40625   0.4631375]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [ 1.234375  8.640625 -1.234375] : 5
Mn1 : [3.703125 8.640625 1.234375] : 22
Mn1 : [1.234375 6.171875 1.234375] : 20
Er1 : [ 3.703125  6.171875 -1.234375] : 7
!!!atention to nb coordination!!!
         [2.4349357217196204, 1.9084471600377757, 1.9084471600377757, 2.4349357217196204]
         [2.43493572171962, 1.9084471600377757, 1.9084471600377757, 2.43493572171962]


**isite= 56
O1 : [4.9375    4.9375    2.9318875]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [6.171875 6.171875 1.234375] : 12
Mn1 : [3.703125 6.171875 3.703125] : 23
Er1 : [3.703125 3.703125 1.234375] : 6
Mn1 : [6.171875 3.703125 3.703125] : 29
!!!atention to nb coordination!!!
         [2.4349357217196204, 1.9084471600377757, 2.4349357217196204, 1.9084471600377757]
         [2.43493572171962, 1.9084471600377757, 2.43493572171962, 1.9084471600377757]


**isite= 57
O1 : [4.9375    4.9375    6.9431125]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [6.171875 3.703125 8.640625] : 9
Mn1 : [6.171875 6.171875 6.171875] : 28
Er1 : [3.703125 6.171875 8.640625] : 7
Mn1 : [3.703125 3.703125 6.171875] : 18
!!!atention to nb coordination!!!
         [2.4349357217196204, 1.9084471600377757, 2.4349357217196204, 1.9084471600377757]
         [2.43493572171962, 1.9084471600377757, 2.43493572171962, 1.9084471600377757]


**isite= 58
O1 : [4.9375 4.9375 0.    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [3.703125 3.703125 1.234375] : 6
Er1 : [6.171875 6.171875 1.234375] : 12
Er1 : [ 3.703125  6.171875 -1.234375] : 7
Er1 : [ 6.171875  3.703125 -1.234375] : 9


**isite= 59
O1 : [2.46875 7.40625 7.40625]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [3.703125 8.640625 6.171875] : 2
Er1 : [1.234375 6.171875 6.171875] : 4
Er1 : [3.703125 6.171875 8.640625] : 7
Er1 : [1.234375 8.640625 8.640625] : 5


**isite= 60
O1 : [9.4118625 2.46875   2.46875  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [8.640625 1.234375 3.703125] : 27
Er1 : [11.109375  1.234375  1.234375] : 0
Er1 : [11.109375  3.703125  3.703125] : 1
Mn1 : [8.640625 3.703125 1.234375] : 26


**isite= 61
O1 : [0.        6.9431125 0.       ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [-1.234375  8.640625  1.234375] : 10
Mn1 : [1.234375 6.171875 1.234375] : 20
Mn1 : [-1.234375  6.171875 -1.234375] : 31
Er1 : [ 1.234375  8.640625 -1.234375] : 5
!!!atention to nb coordination!!!
         [2.4349357217196204, 1.9084471600377757, 1.9084471600377757, 2.4349357217196204]
         [2.43493572171962, 1.9084471600377757, 1.9084471600377757, 2.43493572171962]


**isite= 62
O1 : [0.4631375 2.46875   7.40625  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [1.234375 3.703125 8.640625] : 21
Mn1 : [1.234375 1.234375 6.171875] : 16
Er1 : [-1.234375  3.703125  6.171875] : 14
Er1 : [-1.234375  1.234375  8.640625] : 11


**isite= 63
O1 : [0.        2.9318875 0.       ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [-1.234375  3.703125  1.234375] : 26
Mn1 : [ 1.234375  3.703125 -1.234375] : 21
Er1 : [1.234375 1.234375 1.234375] : 0
Er1 : [-1.234375  1.234375 -1.234375] : 11
!!!atention to nb coordination!!!
         [1.9084471600377757, 1.9084471600377757, 2.4349357217196204, 2.4349357217196204]
         [1.9084471600377757, 1.9084471600377757, 2.43493572171962, 2.43493572171962]


**isite= 64
O1 : [7.40625   9.4118625 7.40625  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [ 8.640625 11.109375  8.640625] : 11
Mn1 : [6.171875 8.640625 8.640625] : 25
Er1 : [ 6.171875 11.109375  6.171875] : 8
Mn1 : [8.640625 8.640625 6.171875] : 30


**isite= 65
O1 : [7.8693875 0.        4.9375   ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [8.640625 1.234375 3.703125] : 27
Er1 : [6.171875 1.234375 6.171875] : 8
Er1 : [ 6.171875 -1.234375  3.703125] : 13
Mn1 : [ 8.640625 -1.234375  6.171875] : 30


**isite= 66
O1 : [7.40625   5.4006375 7.40625  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [6.171875 6.171875 6.171875] : 28
Er1 : [6.171875 3.703125 8.640625] : 9
Mn1 : [8.640625 6.171875 8.640625] : 31
Er1 : [8.640625 3.703125 6.171875] : 14
!!!atention to nb coordination!!!
         [1.9084471600377757, 2.4349357217196204, 1.9084471600377757, 2.4349357217196204]
         [1.9084471600377757, 2.43493572171962, 1.9084471600377757, 2.43493572171962]


**isite= 67
O1 : [6.9431125 0.        0.       ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [6.171875 1.234375 1.234375] : 24
Er1 : [ 8.640625 -1.234375  1.234375] : 10
Er1 : [ 8.640625  1.234375 -1.234375] : 11
Mn1 : [ 6.171875 -1.234375 -1.234375] : 25


**isite= 68
O1 : [7.40625   2.46875   4.4743625]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [6.171875 3.703125 3.703125] : 29
Er1 : [6.171875 1.234375 6.171875] : 8
Er1 : [8.640625 3.703125 6.171875] : 14
Mn1 : [8.640625 1.234375 3.703125] : 27
!!!atention to nb coordination!!!
         [1.9084471600377757, 2.4349357217196204, 2.4349357217196204, 1.9084471600377757]
         [1.9084471600377757, 2.43493572171962, 2.43493572171962, 1.9084471600377757]


**isite= 69
O1 : [7.40625   2.46875   0.4631375]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [6.171875 1.234375 1.234375] : 24
Mn1 : [8.640625 3.703125 1.234375] : 26
Er1 : [ 6.171875  3.703125 -1.234375] : 9
Er1 : [ 8.640625  1.234375 -1.234375] : 11
!!!atention to nb coordination!!!
         [1.9084471600377757, 1.9084471600377757, 2.4349357217196204, 2.4349357217196204]
         [1.9084471600377757, 1.9084471600377757, 2.43493572171962, 2.43493572171962]


**isite= 70
O1 : [0.        0.        2.9318875]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [1.234375 1.234375 1.234375] : 0
Mn1 : [ 1.234375 -1.234375  3.703125] : 17
Mn1 : [-1.234375  1.234375  3.703125] : 27
Er1 : [-1.234375 -1.234375  1.234375] : 10
!!!atention to nb coordination!!!
         [2.4349357217196204, 1.9084471600377757, 1.9084471600377757, 2.4349357217196204]
         [2.43493572171962, 1.9084471600377757, 1.9084471600377757, 2.43493572171962]


**isite= 71
O1 : [0.        0.        6.9431125]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [-1.234375  1.234375  8.640625] : 11
Mn1 : [-1.234375 -1.234375  6.171875] : 30
Mn1 : [1.234375 1.234375 6.171875] : 16
Er1 : [ 1.234375 -1.234375  8.640625] : 5
!!!atention to nb coordination!!!
         [2.4349357217196204, 1.9084471600377757, 1.9084471600377757, 2.4349357217196204]
         [2.43493572171962, 1.9084471600377757, 1.9084471600377757, 2.43493572171962]


**isite= 72
O1 : [0. 0. 0.]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [-1.234375  1.234375 -1.234375] : 11
Er1 : [1.234375 1.234375 1.234375] : 0
Er1 : [-1.234375 -1.234375  1.234375] : 10
Er1 : [ 1.234375 -1.234375 -1.234375] : 5


**isite= 73
O1 : [7.40625 2.46875 7.40625]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [6.171875 3.703125 8.640625] : 9
Er1 : [6.171875 1.234375 6.171875] : 8
Er1 : [8.640625 3.703125 6.171875] : 14
Er1 : [8.640625 1.234375 8.640625] : 11


**isite= 74
O1 : [9.4118625 7.40625   7.40625  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [11.109375  8.640625  8.640625] : 5
Mn1 : [8.640625 8.640625 6.171875] : 30
Mn1 : [8.640625 6.171875 8.640625] : 31
Er1 : [11.109375  6.171875  6.171875] : 4


**isite= 75
O1 : [0.        2.0056125 4.9375   ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [1.234375 1.234375 6.171875] : 16
Er1 : [-1.234375  3.703125  6.171875] : 14
Er1 : [1.234375 3.703125 3.703125] : 1
Mn1 : [-1.234375  1.234375  3.703125] : 27
!!!atention to nb coordination!!!
         [1.9084471600377757, 2.4349357217196204, 2.4349357217196204, 1.9084471600377757]
         [1.9084471600377757, 2.43493572171962, 2.43493572171962, 1.9084471600377757]


**isite= 76
O1 : [0.4631375 7.40625   2.46875  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [-1.234375  8.640625  1.234375] : 10
Mn1 : [1.234375 6.171875 1.234375] : 20
Er1 : [-1.234375  6.171875  3.703125] : 15
Mn1 : [1.234375 8.640625 3.703125] : 17


**isite= 77
O1 : [0.        7.8693875 4.9375   ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [-1.234375  8.640625  6.171875] : 30
Er1 : [1.234375 6.171875 6.171875] : 4
Mn1 : [1.234375 8.640625 3.703125] : 17
Er1 : [-1.234375  6.171875  3.703125] : 15
!!!atention to nb coordination!!!
         [1.9084471600377757, 2.4349357217196204, 1.9084471600377757, 2.4349357217196204]
         [1.9084471600377757, 2.43493572171962, 1.9084471600377757, 2.43493572171962]


**isite= 78
O1 : [7.40625   4.4743625 2.46875  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [6.171875 3.703125 3.703125] : 29
Er1 : [8.640625 6.171875 3.703125] : 15
Er1 : [6.171875 6.171875 1.234375] : 12
Mn1 : [8.640625 3.703125 1.234375] : 26
!!!atention to nb coordination!!!
         [1.9084471600377757, 2.4349357217196204, 2.4349357217196204, 1.9084471600377757]
         [1.9084471600377757, 2.43493572171962, 2.43493572171962, 1.9084471600377757]


**isite= 79
O1 : [7.8693875 4.9375    0.       ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [6.171875 6.171875 1.234375] : 12
Mn1 : [ 8.640625  6.171875 -1.234375] : 31
Mn1 : [8.640625 3.703125 1.234375] : 26
Er1 : [ 6.171875  3.703125 -1.234375] : 9


**isite= 80
O1 : [7.40625   0.4631375 2.46875  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [6.171875 1.234375 1.234375] : 24
Mn1 : [8.640625 1.234375 3.703125] : 27
Er1 : [ 6.171875 -1.234375  3.703125] : 13
Er1 : [ 8.640625 -1.234375  1.234375] : 10
!!!atention to nb coordination!!!
         [1.9084471600377757, 1.9084471600377757, 2.4349357217196204, 2.4349357217196204]
         [1.9084471600377757, 1.9084471600377757, 2.43493572171962, 2.43493572171962]


**isite= 81
O1 : [6.9431125 4.9375    4.9375   ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [8.640625 6.171875 3.703125] : 15
Er1 : [8.640625 3.703125 6.171875] : 14
Mn1 : [6.171875 6.171875 6.171875] : 28
Mn1 : [6.171875 3.703125 3.703125] : 29


**isite= 82
O1 : [7.40625   7.40625   9.4118625]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [ 8.640625  8.640625 11.109375] : 10
Mn1 : [8.640625 6.171875 8.640625] : 31
Mn1 : [6.171875 8.640625 8.640625] : 25
Er1 : [ 6.171875  6.171875 11.109375] : 12


**isite= 83
O1 : [7.40625   7.40625   5.4006375]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [8.640625 8.640625 6.171875] : 30
Mn1 : [6.171875 6.171875 6.171875] : 28
Er1 : [6.171875 8.640625 3.703125] : 13
Er1 : [8.640625 6.171875 3.703125] : 15
!!!atention to nb coordination!!!
         [1.9084471600377757, 1.9084471600377757, 2.4349357217196204, 2.4349357217196204]
         [1.9084471600377757, 1.9084471600377757, 2.43493572171962, 2.43493572171962]


**isite= 84
O1 : [0.        4.9375    7.8693875]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [-1.234375  6.171875  8.640625] : 31
Er1 : [-1.234375  3.703125  6.171875] : 14
Mn1 : [1.234375 3.703125 8.640625] : 21
Er1 : [1.234375 6.171875 6.171875] : 4
!!!atention to nb coordination!!!
         [1.9084471600377757, 2.4349357217196204, 1.9084471600377757, 2.4349357217196204]
         [1.9084471600377757, 2.43493572171962, 1.9084471600377757, 2.43493572171962]


**isite= 85
O1 : [0.        4.9375    2.0056125]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [1.234375 3.703125 3.703125] : 1
Mn1 : [1.234375 6.171875 1.234375] : 20
Mn1 : [-1.234375  3.703125  1.234375] : 26
Er1 : [-1.234375  6.171875  3.703125] : 15
!!!atention to nb coordination!!!
         [2.4349357217196204, 1.9084471600377757, 1.9084471600377757, 2.4349357217196204]
         [2.43493572171962, 1.9084471600377757, 1.9084471600377757, 2.43493572171962]


**isite= 86
O1 : [0.     4.9375 4.9375]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [-1.234375  6.171875  3.703125] : 15
Er1 : [1.234375 6.171875 6.171875] : 4
Er1 : [1.234375 3.703125 3.703125] : 1
Er1 : [-1.234375  3.703125  6.171875] : 14


**isite= 87
O1 : [7.40625 7.40625 2.46875]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [6.171875 8.640625 3.703125] : 13
Er1 : [8.640625 6.171875 3.703125] : 15
Er1 : [8.640625 8.640625 1.234375] : 10
Er1 : [6.171875 6.171875 1.234375] : 12

END

