cif name= ./1510920.cif
./1510920.cif
Full Formula (K12 B36 O60)
         [1.367857924927436, 1.4792203182861197]


**isite= 84
O1 : [-0.05857736  1.043736    8.25942127]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [0.34294287 2.3779896  8.41926747] : 36
B1 : [0.6929289  0.0252624  8.85043155] : 12
!!!atention to nb coordination!!!
         [1.4024984748273925, 1.3969048921962486]
         [1.4024984748273919, 1.396904892196248]


**isite= 85
O1 : [8.57209256 4.367736   2.25677592]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [8.17057233 5.7019896  2.09692972] : 37
B1 : [7.82058631 3.3492624  1.66576563] : 13
!!!atention to nb coordination!!!
         [1.4024984748273939, 1.3969048921962486]
         [1.4024984748273932, 1.3969048921962488]


**isite= 86
O1 : [ 7.76660777  5.604264   12.7729731 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 7.01510152  6.6227376  12.18196282] : 14
B1 : [ 7.36508754  4.2700104  12.6131269 ] : 38
!!!atention to nb coordination!!!
         [1.3969048921962477, 1.4024984748273917]
         [1.3969048921962486, 1.4024984748273928]


**isite= 87
O1 : [-0.86406215  2.280264   18.77561846]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [-0.46254192  0.9460104  18.93546465] : 39
B1 : [-0.1125559   3.2987376  19.36662874] : 15
!!!atention to nb coordination!!!
         [1.402498474827393, 1.3969048921962492]
         [1.4024984748273928, 1.3969048921962477]


**isite= 88
O1 : [0.38508196 5.3642712  8.68427564]

ce_symbol  = A:2
ce_fraction=  0.9989905899756427
species:coords:index
B1 : [0.6929289  6.6732624  8.85043155] : 12
B1 : [-0.7890706   4.6708848   8.16056902] : 30
!!!atention to nb coordination!!!
         [1.3549300677796492, 1.4607147398284546]
         [1.354930067779649, 1.460714739828455]

ce_symbol  = L:2
ce_fraction=  0.0010094100243573365
species:coords:index
B1 : [0.6929289  6.6732624  8.85043155] : 12
B1 : [-0.7890706   4.6708848   8.16056902] : 30
!!!atention to nb coordination!!!
         [1.3549300677796492, 1.4607147398284546]
         [1.354930067779649, 1.460714739828455]


**isite= 89
O1 : [8.12843325 2.0402712  1.83192155]

ce_symbol  = A:2
ce_fraction=  0.9989905899756427
species:coords:index
B1 : [7.82058631 3.3492624  1.66576563] : 13
B1 : [9.30258581 1.3468848  2.35562817] : 31
!!!atention to nb coordination!!!
         [1.3549300677796499, 1.4607147398284543]
         [1.3549300677796494, 1.4607147398284557]

ce_symbol  = L:2
ce_fraction=  0.0010094100243573344
species:coords:index
B1 : [7.82058631 3.3492624  1.66576563] : 13
B1 : [9.30258581 1.3468848  2.35562817] : 31
!!!atention to nb coordination!!!
         [1.3549300677796499, 1.4607147398284543]
         [1.3549300677796494, 1.4607147398284557]


**isite= 90
O1 : [ 7.32294846  1.2837288  12.34811874]

ce_symbol  = A:2
ce_fraction=  0.9989905899756427
species:coords:index
B1 : [ 8.49710101  1.9771152  12.87182536] : 28
B1 : [ 7.01510152 -0.0252624  12.18196282] : 14
!!!atention to nb coordination!!!
         [1.4607147398284572, 1.3549300677796472]
         [1.4607147398284563, 1.3549300677796488]

ce_symbol  = L:2
ce_fraction=  0.001009410024357303
species:coords:index
B1 : [ 8.49710101  1.9771152  12.87182536] : 28
B1 : [ 7.01510152 -0.0252624  12.18196282] : 14
!!!atention to nb coordination!!!
         [1.4607147398284572, 1.3549300677796472]
         [1.4607147398284563, 1.3549300677796488]


**isite= 91
O1 : [-0.42040284  4.6077288  19.20047282]

ce_symbol  = A:2
ce_fraction=  0.9989905899756427
species:coords:index
B1 : [-1.59455539  5.3011152  18.6767662 ] : 29
B1 : [-0.1125559   3.2987376  19.36662874] : 15
!!!atention to nb coordination!!!
         [1.460714739828454, 1.3549300677796492]
         [1.4607147398284543, 1.3549300677796494]

ce_symbol  = L:2
ce_fraction=  0.0010094100243573483
species:coords:index
B1 : [-1.59455539  5.3011152  18.6767662 ] : 29
B1 : [-0.1125559   3.2987376  19.36662874] : 15
!!!atention to nb coordination!!!
         [1.460714739828454, 1.3549300677796492]
         [1.4607147398284543, 1.3549300677796494]


**isite= 92
O1 : [6.79363097 2.45976    6.13094296]

ce_symbol  = S:1
ce_fraction=  0.6458463271756215
species:coords:index
B1 : [5.57544414 1.3502088  5.97530324] : 20

ce_symbol  = A:2
ce_fraction=  0.2874863539343509
species:coords:index
B1 : [5.57544414 1.3502088  5.97530324] : 20
K1 : [8.29782395 3.5659872  5.04672303] : 5
!!!atention to nb coordination!!!
         [1.6550851120379644, 2.1591359387515516]
         [1.6550851120379644, 2.159135938751552]

ce_symbol  = L:2
ce_fraction=  0.06666731889002758
species:coords:index
B1 : [5.57544414 1.3502088  5.97530324] : 20
K1 : [8.29782395 3.5659872  5.04672303] : 5
!!!atention to nb coordination!!!
         [1.6550851120379644, 2.1591359387515516]
         [1.6550851120379644, 2.159135938751552]


**isite= 93
O1 : [1.71988424 5.78376    4.38525423]

ce_symbol  = S:1
ce_fraction=  0.6458463271756223
species:coords:index
B1 : [2.93807107 4.6742088  4.54089394] : 21
!!!atention to nb coordination!!!
         [1.6550851120379633]
         [1.6550851120379637]

ce_symbol  = A:2
ce_fraction=  0.2874863539343501
species:coords:index
K1 : [0.21569126 6.8899872  5.46947416] : 4
B1 : [2.93807107 4.6742088  4.54089394] : 21
!!!atention to nb coordination!!!
         [2.1591359387515534, 1.6550851120379633]
         [2.159135938751553, 1.6550851120379637]

ce_symbol  = L:2
ce_fraction=  0.06666731889002754
species:coords:index
K1 : [0.21569126 6.8899872  5.46947416] : 4
B1 : [2.93807107 4.6742088  4.54089394] : 21
!!!atention to nb coordination!!!
         [2.1591359387515534, 1.6550851120379633]
         [2.159135938751553, 1.6550851120379637]


**isite= 94
O1 : [ 0.91439945  4.18824    14.90145141]

ce_symbol  = S:1
ce_fraction=  0.6458463271756238
species:coords:index
B1 : [ 2.13258627  5.2977912  15.05709113] : 22
!!!atention to nb coordination!!!
         [1.6550851120379644]
         [1.6550851120379637]

ce_symbol  = A:2
ce_fraction=  0.2874863539343486
species:coords:index
B1 : [ 2.13258627  5.2977912  15.05709113] : 22
K1 : [-0.58979353  3.0820128  15.98567134] : 7
!!!atention to nb coordination!!!
         [1.6550851120379644, 2.159135938751554]
         [1.6550851120379637, 2.159135938751553]

ce_symbol  = L:2
ce_fraction=  0.06666731889002747
species:coords:index
B1 : [ 2.13258627  5.2977912  15.05709113] : 22
K1 : [-0.58979353  3.0820128  15.98567134] : 7
!!!atention to nb coordination!!!
         [1.6550851120379644, 2.159135938751554]
         [1.6550851120379637, 2.159135938751553]


**isite= 95
O1 : [ 5.98814617  0.86424    16.64714014]

ce_symbol  = S:1
ce_fraction=  0.6458463271756196
species:coords:index
B1 : [ 4.76995935  1.9737912  16.49150043] : 23
!!!atention to nb coordination!!!
         [1.655085112037965]
         [1.6550851120379653]

ce_symbol  = A:2
ce_fraction=  0.28748635393435334
species:coords:index
B1 : [ 4.76995935  1.9737912  16.49150043] : 23
K1 : [ 7.49233915 -0.2419872  15.56292022] : 6
!!!atention to nb coordination!!!
         [1.655085112037965, 2.1591359387515503]
         [1.6550851120379653, 2.159135938751553]

ce_symbol  = L:2
ce_fraction=  0.06666731889002699
species:coords:index
B1 : [ 4.76995935  1.9737912  16.49150043] : 23
K1 : [ 7.49233915 -0.2419872  15.56292022] : 6
!!!atention to nb coordination!!!
         [1.655085112037965, 2.1591359387515503]
         [1.6550851120379653, 2.159135938751553]


**isite= 96
O1 : [ 2.49840024  1.9325736  11.18145182]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 1.45680356  1.5915312  12.00529071] : 32
B1 : [2.34272519 1.6646592  9.74641155] : 24
!!!atention to nb coordination!!!
         [1.3711105252015507, 1.4681121946353086]
         [1.3711105252015496, 1.4681121946353104]


**isite= 97
O1 : [ 4.40414538  5.2565736  20.36713974]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 4.55982043  4.9886592  21.80218001] : 25
B1 : [ 5.44574206  4.9155312  19.54330085] : 33
!!!atention to nb coordination!!!
         [1.4681121946353122, 1.3711105252015447]
         [1.4681121946353124, 1.3711105252015472]


**isite= 98
O1 : [5.20963017 4.7154264  9.85094255]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 5.36530522  4.9833408  11.28598282] : 26
B1 : [6.25122685 5.0564688  9.02710366] : 34
!!!atention to nb coordination!!!
         [1.4681121946353144, 1.3711105252015487]
         [1.4681121946353106, 1.3711105252015494]


**isite= 99
O1 : [3.30388503 1.3914264  0.66525463]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [2.26228835 1.7324688  1.48909352] : 35
B1 : [ 3.14820999  1.6593408  -0.76978563] : 27
!!!atention to nb coordination!!!
         [1.371110525201549, 1.4681121946353048]
         [1.3711105252015487, 1.4681121946353086]


**isite= 100
O1 : [4.56442467 0.5125608  5.28060325]

ce_symbol  = L:2
ce_fraction=  0.9113168980993994
species:coords:index
B1 : [3.42817539 0.1043736  5.86803803] : 40
O1 : [5.92450644 0.5364936  5.09236333] : 76
!!!atention to nb coordination!!!
         [1.342668548994704, 1.3732550718396372]
         [1.3426685489947032, 1.3732550718396364]

ce_symbol  = A:2
ce_fraction=  0.0886831019006006
species:coords:index
B1 : [3.42817539 0.1043736  5.86803803] : 40
O1 : [5.92450644 0.5364936  5.09236333] : 76
!!!atention to nb coordination!!!
         [1.342668548994704, 1.3732550718396372]
         [1.3426685489947032, 1.3732550718396364]


**isite= 101
O1 : [3.94909054 3.8365608  5.23559393]

ce_symbol  = L:2
ce_fraction=  0.9113168980993992
species:coords:index
O1 : [2.58900876 3.8604936  5.42383386] : 77
B1 : [5.08533982 3.4283736  4.64815916] : 41
!!!atention to nb coordination!!!
         [1.3732550718396361, 1.3426685489947026]
         [1.373255071839636, 1.3426685489947032]

ce_symbol  = A:2
ce_fraction=  0.0886831019006007
species:coords:index
O1 : [2.58900876 3.8604936  5.42383386] : 77
B1 : [5.08533982 3.4283736  4.64815916] : 41
!!!atention to nb coordination!!!
         [1.3732550718396361, 1.3426685489947026]
         [1.373255071839636, 1.3426685489947032]


**isite= 102
O1 : [ 3.14360575  6.1354392  15.75179112]

ce_symbol  = L:2
ce_fraction=  0.9113168980993996
species:coords:index
B1 : [ 4.27985503  6.5436264  15.16435634] : 42
O1 : [ 1.78352397  6.1115064  15.94003105] : 78
!!!atention to nb coordination!!!
         [1.342668548994702, 1.3732550718396364]
         [1.3426685489947032, 1.373255071839636]

ce_symbol  = A:2
ce_fraction=  0.08868310190060044
species:coords:index
B1 : [ 4.27985503  6.5436264  15.16435634] : 42
O1 : [ 1.78352397  6.1115064  15.94003105] : 78
!!!atention to nb coordination!!!
         [1.342668548994702, 1.3732550718396364]
         [1.3426685489947032, 1.373255071839636]


**isite= 103
O1 : [ 3.75893987  2.8114392  15.79680044]

ce_symbol  = L:2
ce_fraction=  0.911316898099399
species:coords:index
B1 : [ 2.62269059  3.2196264  16.38423522] : 43
O1 : [ 5.11902165  2.7875064  15.60856051] : 79
!!!atention to nb coordination!!!
         [1.3426685489947057, 1.3732550718396366]
         [1.342668548994704, 1.373255071839636]

ce_symbol  = A:2
ce_fraction=  0.08868310190060112
species:coords:index
B1 : [ 2.62269059  3.2196264  16.38423522] : 43
O1 : [ 5.11902165  2.7875064  15.60856051] : 79
!!!atention to nb coordination!!!
         [1.3426685489947057, 1.3732550718396366]
         [1.342668548994704, 1.373255071839636]


**isite= 104
O1 : [1.77429082 0.3064728  9.62442366]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [2.34272519 1.6646592  9.74641155] : 24
B1 : [0.6929289  0.0252624  8.85043155] : 12
!!!atention to nb coordination!!!
         [1.4773858609294095, 1.3592228221075333]
         [1.477385860929409, 1.3592228221075342]


**isite= 105
O1 : [6.73922439 3.6304728  0.89177352]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [6.17079001 4.9886592  0.76978563] : 25
B1 : [7.82058631 3.3492624  1.66576563] : 13
!!!atention to nb coordination!!!
         [1.4773858609294093, 1.3592228221075338]
         [1.4773858609294086, 1.3592228221075338]


**isite= 106
O1 : [ 5.9337396   6.3415272  11.40797071]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 7.01510152  6.6227376  12.18196282] : 14
B1 : [ 5.36530522  4.9833408  11.28598282] : 26
!!!atention to nb coordination!!!
         [1.359222822107536, 1.4773858609294075]
         [1.3592228221075338, 1.4773858609294086]


**isite= 107
O1 : [ 0.96880602  3.0175272  20.14062085]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 1.5372404   1.6593408  20.26260874] : 27
B1 : [-0.1125559   3.2987376  19.36662874] : 15
!!!atention to nb coordination!!!
         [1.477385860929409, 1.3592228221075335]
         [1.477385860929409, 1.359222822107535]

END

