cif name= ./2102936.cif
./2102936.cif
Full Formula (Rb16 Fe16 O32)
         [1.8618097037566046, 1.860568406229241]


**isite= 52
O1 : [5.31698048 9.04508416 0.29960168]

ce_symbol  = A:2
ce_fraction=  0.8212926332691165
species:coords:index
Fe1 : [7.00285936 8.74527002 1.03053208] : 26
Fe1 : [ 4.12445936  8.52512998 -1.03053208] : 25
!!!atention to nb coordination!!!
         [1.8618097037566044, 1.8605684062292425]
         [1.8618097037566046, 1.8605684062292411]

ce_symbol  = L:2
ce_fraction=  0.1787073667308834
species:coords:index
Fe1 : [7.00285936 8.74527002 1.03053208] : 26
Fe1 : [ 4.12445936  8.52512998 -1.03053208] : 25
!!!atention to nb coordination!!!
         [1.8618097037566044, 1.8605684062292425]
         [1.8618097037566046, 1.8605684062292411]


**isite= 53
O1 : [3.31821952 2.46851584 8.44095168]

ce_symbol  = A:2
ce_fraction=  0.8212926332691157
species:coords:index
Fe1 : [1.63234064 2.76832998 9.17188208] : 27
Fe1 : [4.51074064 2.98847002 7.11081792] : 24
!!!atention to nb coordination!!!
         [1.8618097037566044, 1.8605684062292411]
         [1.861809703756605, 1.8605684062292405]

ce_symbol  = L:2
ce_fraction=  0.17870736673088425
species:coords:index
Fe1 : [1.63234064 2.76832998 9.17188208] : 27
Fe1 : [4.51074064 2.98847002 7.11081792] : 24
!!!atention to nb coordination!!!
         [1.8618097037566044, 1.8605684062292411]
         [1.861809703756605, 1.8605684062292405]


**isite= 54
O1 : [0.43981952 3.28828416 7.84174832]

ce_symbol  = A:2
ce_fraction=  0.8212926332691153
species:coords:index
Fe1 : [1.63234064 2.76832998 9.17188208] : 27
Fe1 : [-1.24605936  2.98847002  7.11081792] : 24
!!!atention to nb coordination!!!
         [1.86056840622924, 1.8618097037566044]
         [1.8605684062292411, 1.8618097037566042]

ce_symbol  = L:2
ce_fraction=  0.17870736673088472
species:coords:index
Fe1 : [1.63234064 2.76832998 9.17188208] : 27
Fe1 : [-1.24605936  2.98847002  7.11081792] : 24
!!!atention to nb coordination!!!
         [1.86056840622924, 1.8618097037566044]
         [1.8605684062292411, 1.8618097037566042]


**isite= 55
O1 : [ 2.43858048  8.22531584 15.98309832]

ce_symbol  = A:2
ce_fraction=  0.8212926332691144
species:coords:index
Fe1 : [ 4.12445936  8.52512998 15.25216792] : 25
Fe1 : [ 1.24605936  8.74527002 17.31323208] : 26
!!!atention to nb coordination!!!
         [1.8618097037566055, 1.8605684062292394]
         [1.8618097037566048, 1.8605684062292394]

ce_symbol  = L:2
ce_fraction=  0.17870736673088566
species:coords:index
Fe1 : [ 4.12445936  8.52512998 15.25216792] : 25
Fe1 : [ 1.24605936  8.74527002 17.31323208] : 26
!!!atention to nb coordination!!!
         [1.8618097037566055, 1.8605684062292394]
         [1.8618097037566048, 1.8605684062292394]


**isite= 56
O1 : [ 5.44823552 11.31671744  3.61264265]

ce_symbol  = A:2
ce_fraction=  0.956548801226147
species:coords:index
Fe1 : [ 7.21753043 11.57865184  3.06977743] : 16
Fe1 : [ 4.33913043 11.57865184  5.07157257] : 21
!!!atention to nb coordination!!!
         [1.8691486726439492, 1.8512698986377025]
         [1.869148672643949, 1.8512698986377023]

ce_symbol  = L:2
ce_fraction=  0.043451198773853
species:coords:index
Fe1 : [ 7.21753043 11.57865184  3.06977743] : 16
Fe1 : [ 4.33913043 11.57865184  5.07157257] : 21
!!!atention to nb coordination!!!
         [1.8691486726439492, 1.8512698986377025]
         [1.869148672643949, 1.8512698986377023]


**isite= 57
O1 : [ 3.18696448  0.19688256 11.75399265]

ce_symbol  = A:2
ce_fraction=  0.9565488012261475
species:coords:index
Fe1 : [ 1.41766957 -0.06505184 11.21112743] : 17
Fe1 : [ 4.29606957 -0.06505184 13.21292257] : 20
!!!atention to nb coordination!!!
         [1.869148672643949, 1.8512698986377005]
         [1.8691486726439486, 1.851269898637702]

ce_symbol  = L:2
ce_fraction=  0.04345119877385251
species:coords:index
Fe1 : [ 1.41766957 -0.06505184 11.21112743] : 17
Fe1 : [ 4.29606957 -0.06505184 13.21292257] : 20
!!!atention to nb coordination!!!
         [1.869148672643949, 1.8512698986377005]
         [1.8691486726439486, 1.851269898637702]


**isite= 58
O1 : [0.30856448 5.55991744 4.52870735]

ce_symbol  = A:2
ce_fraction=  0.9565488012261487
species:coords:index
Fe1 : [-1.46073043  5.82185184  5.07157257] : 18
Fe1 : [1.41766957 5.82185184 3.06977743] : 23
!!!atention to nb coordination!!!
         [1.8691486726439486, 1.8512698986377039]
         [1.869148672643949, 1.8512698986377036]

ce_symbol  = L:2
ce_fraction=  0.043451198773851264
species:coords:index
Fe1 : [-1.46073043  5.82185184  5.07157257] : 18
Fe1 : [1.41766957 5.82185184 3.06977743] : 23
!!!atention to nb coordination!!!
         [1.8691486726439486, 1.8512698986377039]
         [1.869148672643949, 1.8512698986377036]


**isite= 59
O1 : [ 2.56983552  5.95368256 12.67005735]

ce_symbol  = A:2
ce_fraction=  0.9565488012261467
species:coords:index
Fe1 : [ 1.46073043  5.69174816 11.21112743] : 22
Fe1 : [ 4.33913043  5.69174816 13.21292257] : 19
!!!atention to nb coordination!!!
         [1.8512698986377036, 1.8691486726439472]
         [1.851269898637702, 1.869148672643948]

ce_symbol  = L:2
ce_fraction=  0.04345119877385333
species:coords:index
Fe1 : [ 1.46073043  5.69174816 11.21112743] : 22
Fe1 : [ 4.33913043  5.69174816 13.21292257] : 19
!!!atention to nb coordination!!!
         [1.8512698986377036, 1.8691486726439472]
         [1.851269898637702, 1.869148672643948]


**isite= 60
O1 : [ 0.30856448  0.19688256 12.67005735]

ce_symbol  = A:2
ce_fraction=  0.9565488012261476
species:coords:index
Fe1 : [ 1.41766957 -0.06505184 11.21112743] : 17
Fe1 : [-1.46073043 -0.06505184 13.21292257] : 20
!!!atention to nb coordination!!!
         [1.8512698986377034, 1.869148672643948]
         [1.851269898637702, 1.869148672643949]

ce_symbol  = L:2
ce_fraction=  0.043451198773852485
species:coords:index
Fe1 : [ 1.41766957 -0.06505184 11.21112743] : 17
Fe1 : [-1.46073043 -0.06505184 13.21292257] : 20
!!!atention to nb coordination!!!
         [1.8512698986377034, 1.869148672643948]
         [1.851269898637702, 1.869148672643949]


**isite= 61
O1 : [ 2.56983552 11.31671744  4.52870735]

ce_symbol  = A:2
ce_fraction=  0.9565488012261472
species:coords:index
Fe1 : [ 1.46073043 11.57865184  3.06977743] : 16
Fe1 : [ 4.33913043 11.57865184  5.07157257] : 21
!!!atention to nb coordination!!!
         [1.851269898637704, 1.8691486726439481]
         [1.8512698986377034, 1.869148672643948]

ce_symbol  = L:2
ce_fraction=  0.04345119877385291
species:coords:index
Fe1 : [ 1.46073043 11.57865184  3.06977743] : 16
Fe1 : [ 4.33913043 11.57865184  5.07157257] : 21
!!!atention to nb coordination!!!
         [1.851269898637704, 1.8691486726439481]
         [1.8512698986377034, 1.869148672643948]


**isite= 62
O1 : [ 5.44823552  5.95368256 11.75399265]

ce_symbol  = A:2
ce_fraction=  0.9565488012261472
species:coords:index
Fe1 : [ 7.21753043  5.69174816 11.21112743] : 22
Fe1 : [ 4.33913043  5.69174816 13.21292257] : 19
!!!atention to nb coordination!!!
         [1.8691486726439492, 1.8512698986377]
         [1.8691486726439488, 1.8512698986377014]

ce_symbol  = L:2
ce_fraction=  0.04345119877385287
species:coords:index
Fe1 : [ 7.21753043  5.69174816 11.21112743] : 22
Fe1 : [ 4.33913043  5.69174816 13.21292257] : 19
!!!atention to nb coordination!!!
         [1.8691486726439492, 1.8512698986377]
         [1.8691486726439488, 1.8512698986377014]


**isite= 63
O1 : [3.18696448 5.55991744 3.61264265]

ce_symbol  = A:2
ce_fraction=  0.956548801226148
species:coords:index
Fe1 : [1.41766957 5.82185184 3.06977743] : 23
Fe1 : [4.29606957 5.82185184 5.07157257] : 18
!!!atention to nb coordination!!!
         [1.869148672643949, 1.851269898637703]
         [1.8691486726439488, 1.851269898637703]

ce_symbol  = L:2
ce_fraction=  0.04345119877385204
species:coords:index
Fe1 : [1.41766957 5.82185184 3.06977743] : 23
Fe1 : [4.29606957 5.82185184 5.07157257] : 18
!!!atention to nb coordination!!!
         [1.869148672643949, 1.851269898637703]
         [1.8691486726439488, 1.851269898637703]

END

