cif name= ./1008834.cif
./1008834.cif
Full Formula (K8 Er16 F56)
ce_fraction=  0.7896602264564844
species:coords:index
F-1 : [ 1.599246  12.0583652  3.9283216] : 46
F-1 : [ 2.605128  13.3703324  1.8922536] : 36
F-1 : [ 3.999888  12.2716932  3.9674016] : 26
F-1 : [ 0.840402  10.2384107  2.0759296] : 54
F-1 : [ 4.861566  11.5983767  1.4287648] : 58
F-1 : [3.036558  9.7837554 3.9830336] : 42
F-1 : [3.848592  9.3610993 1.2654104] : 30
F-1 : [ 2.217432  11.1650542  0.1031712] : 50
!!!atention to nb coordination!!!
         [2.3353808235033933, 2.2478139673375344, 2.3648487093355013, 2.249853472836286, 2.1630031514270684, 2.258581763156826, 2.24435913654374, 2.201221120371796]
         [2.335380823503393, 2.2478139673375357, 2.3648487093355013, 2.249853472836286, 2.1630031514270684, 2.258581763156827, 2.2443591365437383, 2.2012211203717955]

ce_symbol  = SBT:8
ce_fraction=  0.13618715507659374
species:coords:index
F-1 : [ 1.599246  12.0583652  3.9283216] : 46
F-1 : [ 2.605128  13.3703324  1.8922536] : 36
F-1 : [ 3.999888  12.2716932  3.9674016] : 26
F-1 : [ 0.840402  10.2384107  2.0759296] : 54
F-1 : [ 4.861566  11.5983767  1.4287648] : 58
F-1 : [3.036558  9.7837554 3.9830336] : 42
F-1 : [3.848592  9.3610993 1.2654104] : 30
F-1 : [ 2.217432  11.1650542  0.1031712] : 50
!!!atention to nb coordination!!!
         [2.3353808235033933, 2.2478139673375344, 2.3648487093355013, 2.249853472836286, 2.1630031514270684, 2.258581763156826, 2.24435913654374, 2.201221120371796]
         [2.335380823503393, 2.2478139673375357, 2.3648487093355013, 2.249853472836286, 2.1630031514270684, 2.258581763156827, 2.2443591365437383, 2.2012211203717955]

ce_symbol  = DDPN:8
ce_fraction=  0.06197673436641702
species:coords:index
F-1 : [ 1.599246  12.0583652  3.9283216] : 46
F-1 : [ 2.605128  13.3703324  1.8922536] : 36
F-1 : [ 3.999888  12.2716932  3.9674016] : 26
F-1 : [ 0.840402  10.2384107  2.0759296] : 54
F-1 : [ 4.861566  11.5983767  1.4287648] : 58
F-1 : [3.036558  9.7837554 3.9830336] : 42
F-1 : [3.848592  9.3610993 1.2654104] : 30
F-1 : [ 2.217432  11.1650542  0.1031712] : 50
!!!atention to nb coordination!!!
         [2.3353808235033933, 2.2478139673375344, 2.3648487093355013, 2.249853472836286, 2.1630031514270684, 2.258581763156826, 2.24435913654374, 2.201221120371796]
         [2.335380823503393, 2.2478139673375357, 2.3648487093355013, 2.249853472836286, 2.1630031514270684, 2.258581763156827, 2.2443591365437383, 2.2012211203717955]

ce_symbol  = DD:8
ce_fraction=  0.011100759074347832
species:coords:index
F-1 : [ 1.599246  12.0583652  3.9283216] : 46
F-1 : [ 2.605128  13.3703324  1.8922536] : 36
F-1 : [ 3.999888  12.2716932  3.9674016] : 26
F-1 : [ 0.840402  10.2384107  2.0759296] : 54
F-1 : [ 4.861566  11.5983767  1.4287648] : 58
F-1 : [3.036558  9.7837554 3.9830336] : 42
F-1 : [3.848592  9.3610993 1.2654104] : 30
F-1 : [ 2.217432  11.1650542  0.1031712] : 50
!!!atention to nb coordination!!!
         [2.3353808235033933, 2.2478139673375344, 2.3648487093355013, 2.249853472836286, 2.1630031514270684, 2.258581763156826, 2.24435913654374, 2.201221120371796]
         [2.335380823503393, 2.2478139673375357, 2.3648487093355013, 2.249853472836286, 2.1630031514270684, 2.258581763156827, 2.2443591365437383, 2.2012211203717955]

ce_symbol  = BO_3:8
ce_fraction=  0.0010751250261569155
species:coords:index
F-1 : [ 1.599246  12.0583652  3.9283216] : 46
F-1 : [ 2.605128  13.3703324  1.8922536] : 36
F-1 : [ 3.999888  12.2716932  3.9674016] : 26
F-1 : [ 0.840402  10.2384107  2.0759296] : 54
F-1 : [ 4.861566  11.5983767  1.4287648] : 58
F-1 : [3.036558  9.7837554 3.9830336] : 42
F-1 : [3.848592  9.3610993 1.2654104] : 30
F-1 : [ 2.217432  11.1650542  0.1031712] : 50
!!!atention to nb coordination!!!
         [2.3353808235033933, 2.2478139673375344, 2.3648487093355013, 2.249853472836286, 2.1630031514270684, 2.258581763156826, 2.24435913654374, 2.201221120371796]
         [2.335380823503393, 2.2478139673375357, 2.3648487093355013, 2.249853472836286, 2.1630031514270684, 2.258581763156827, 2.2443591365437383, 2.2012211203717955]


**isite= 15
Er3+1 : [8.9316648  2.17127905 6.10765688]

ce_symbol  = SA:8
ce_fraction=  0.789660226456485
species:coords:index
F-1 : [7.820112  1.0613068 7.8754016] : 27
F-1 : [ 9.214872  -0.0373324  5.8002536] : 37
F-1 : [10.220754   1.2746348  7.8363216] : 47
F-1 : [7.971408  3.9719007 5.1734104] : 31
F-1 : [6.958434  1.7346233 5.3367648] : 59
F-1 : [9.602568  2.1679458 4.0111712] : 51
F-1 : [10.979598   3.0945893  5.9839296] : 55
F-1 : [8.783442  3.5492446 7.8910336] : 43
!!!atention to nb coordination!!!
         [2.364848709335502, 2.2478139673375357, 2.335380823503392, 2.2443591365437383, 2.16300315142707, 2.201221120371794, 2.249853472836286, 2.2585817631568275]
         [2.364848709335502, 2.247813967337534, 2.335380823503392, 2.2443591365437383, 2.16300315142707, 2.201221120371794, 2.249853472836286, 2.2585817631568275]

ce_symbol  = SBT:8
ce_fraction=  0.1361871550765936
species:coords:index
F-1 : [7.820112  1.0613068 7.8754016] : 27
F-1 : [ 9.214872  -0.0373324  5.8002536] : 37
F-1 : [10.220754   1.2746348  7.8363216] : 47
F-1 : [7.971408  3.9719007 5.1734104] : 31
F-1 : [6.958434  1.7346233 5.3367648] : 59
F-1 : [9.602568  2.1679458 4.0111712] : 51
F-1 : [10.979598   3.0945893  5.9839296] : 55
F-1 : [8.783442  3.5492446 7.8910336] : 43
!!!atention to nb coordination!!!
         [2.364848709335502, 2.2478139673375357, 2.335380823503392, 2.2443591365437383, 2.16300315142707, 2.201221120371794, 2.249853472836286, 2.2585817631568275]
         [2.364848709335502, 2.247813967337534, 2.335380823503392, 2.2443591365437383, 2.16300315142707, 2.201221120371794, 2.249853472836286, 2.2585817631568275]

ce_symbol  = DDPN:8
ce_fraction=  0.06197673436641663
species:coords:index
F-1 : [7.820112  1.0613068 7.8754016] : 27
F-1 : [ 9.214872  -0.0373324  5.8002536] : 37
F-1 : [10.220754   1.2746348  7.8363216] : 47
F-1 : [7.971408  3.9719007 5.1734104] : 31
F-1 : [6.958434  1.7346233 5.3367648] : 59
F-1 : [9.602568  2.1679458 4.0111712] : 51
F-1 : [10.979598   3.0945893  5.9839296] : 55
F-1 : [8.783442  3.5492446 7.8910336] : 43
!!!atention to nb coordination!!!
         [2.364848709335502, 2.2478139673375357, 2.335380823503392, 2.2443591365437383, 2.16300315142707, 2.201221120371794, 2.249853472836286, 2.2585817631568275]
         [2.364848709335502, 2.247813967337534, 2.335380823503392, 2.2443591365437383, 2.16300315142707, 2.201221120371794, 2.249853472836286, 2.2585817631568275]

ce_symbol  = DD:8
ce_fraction=  0.011100759074347733
species:coords:index
F-1 : [7.820112  1.0613068 7.8754016] : 27
F-1 : [ 9.214872  -0.0373324  5.8002536] : 37
F-1 : [10.220754   1.2746348  7.8363216] : 47
F-1 : [7.971408  3.9719007 5.1734104] : 31
F-1 : [6.958434  1.7346233 5.3367648] : 59
F-1 : [9.602568  2.1679458 4.0111712] : 51
F-1 : [10.979598   3.0945893  5.9839296] : 55
F-1 : [8.783442  3.5492446 7.8910336] : 43
!!!atention to nb coordination!!!
         [2.364848709335502, 2.2478139673375357, 2.335380823503392, 2.2443591365437383, 2.16300315142707, 2.201221120371794, 2.249853472836286, 2.2585817631568275]
         [2.364848709335502, 2.247813967337534, 2.335380823503392, 2.2443591365437383, 2.16300315142707, 2.201221120371794, 2.249853472836286, 2.2585817631568275]

ce_symbol  = BO_3:8
ce_fraction=  0.0010751250261568871
species:coords:index
F-1 : [7.820112  1.0613068 7.8754016] : 27
F-1 : [ 9.214872  -0.0373324  5.8002536] : 37
F-1 : [10.220754   1.2746348  7.8363216] : 47
F-1 : [7.971408  3.9719007 5.1734104] : 31
F-1 : [6.958434  1.7346233 5.3367648] : 59
F-1 : [9.602568  2.1679458 4.0111712] : 51
F-1 : [10.979598   3.0945893  5.9839296] : 55
F-1 : [8.783442  3.5492446 7.8910336] : 43
!!!atention to nb coordination!!!
         [2.364848709335502, 2.2478139673375357, 2.335380823503392, 2.2443591365437383, 2.16300315142707, 2.201221120371794, 2.249853472836286, 2.2585817631568275]
         [2.364848709335502, 2.247813967337534, 2.335380823503392, 2.2443591365437383, 2.16300315142707, 2.201221120371794, 2.249853472836286, 2.2585817631568275]


**isite= 16
Er3+1 : [ 2.8730874  11.14358807  5.73561528]

ce_symbol  = SA:8
ce_fraction=  0.7748689908858792
species:coords:index
F-1 : [ 1.599246  12.0583652  3.9283216] : 46
F-1 : [ 2.217432  11.1650542  7.9191712] : 50
F-1 : [ 2.563758  13.3543328  6.0347336] : 34
F-1 : [ 4.904118  11.7903719  6.5412104] : 78
F-1 : [ 3.999888  12.2716932  3.9674016] : 26
F-1 : [3.036558  9.7837554 3.9830336] : 42
F-1 : [ 0.884136  10.213078   5.9315624] : 74
F-1 : [3.97152   9.2837679 6.5201072] : 70
!!!atention to nb coordination!!!
         [2.3928642994731106, 2.2799695730542946, 2.2522319392741883, 2.2786834177335034, 2.3809410733220204, 2.224277427061496, 2.2045797639844325, 2.298023675688931]
         [2.3928642994731106, 2.2799695730542946, 2.2522319392741883, 2.2786834177335042, 2.3809410733220204, 2.224277427061495, 2.2045797639844325, 2.2980236756889316]

ce_symbol  = SBT:8
ce_fraction=  0.16596228469483915
species:coords:index
F-1 : [ 1.599246  12.0583652  3.9283216] : 46
F-1 : [ 2.217432  11.1650542  7.9191712] : 50
F-1 : [ 2.563758  13.3543328  6.0347336] : 34
F-1 : [ 4.904118  11.7903719  6.5412104] : 78
F-1 : [ 3.999888  12.2716932  3.9674016] : 26
F-1 : [3.036558  9.7837554 3.9830336] : 42
F-1 : [ 0.884136  10.213078   5.9315624] : 74
F-1 : [3.97152   9.2837679 6.5201072] : 70
!!!atention to nb coordination!!!
         [2.3928642994731106, 2.2799695730542946, 2.2522319392741883, 2.2786834177335034, 2.3809410733220204, 2.224277427061496, 2.2045797639844325, 2.298023675688931]
         [2.3928642994731106, 2.2799695730542946, 2.2522319392741883, 2.2786834177335042, 2.3809410733220204, 2.224277427061495, 2.2045797639844325, 2.2980236756889316]

ce_symbol  = DDPN:8
ce_fraction=  0.0447237369696252
species:coords:index
F-1 : [ 1.599246  12.0583652  3.9283216] : 46
F-1 : [ 2.217432  11.1650542  7.9191712] : 50
F-1 : [ 2.563758  13.3543328  6.0347336] : 34
F-1 : [ 4.904118  11.7903719  6.5412104] : 78
F-1 : [ 3.999888  12.2716932  3.9674016] : 26
F-1 : [3.036558  9.7837554 3.9830336] : 42
F-1 : [ 0.884136  10.213078   5.9315624] : 74
F-1 : [3.97152   9.2837679 6.5201072] : 70
!!!atention to nb coordination!!!
         [2.3928642994731106, 2.2799695730542946, 2.2522319392741883, 2.2786834177335034, 2.3809410733220204, 2.224277427061496, 2.2045797639844325, 2.298023675688931]
         [2.3928642994731106, 2.2799695730542946, 2.2522319392741883, 2.2786834177335042, 2.3809410733220204, 2.224277427061495, 2.2045797639844325, 2.2980236756889316]

ce_symbol  = DD:8
ce_fraction=  0.010504125836523753
species:coords:index
F-1 : [ 1.599246  12.0583652  3.9283216] : 46
F-1 : [ 2.217432  11.1650542  7.9191712] : 50
F-1 : [ 2.563758  13.3543328  6.0347336] : 34
F-1 : [ 4.904118  11.7903719  6.5412104] : 78
F-1 : [ 3.999888  12.2716932  3.9674016] : 26
F-1 : [3.036558  9.7837554 3.9830336] : 42
F-1 : [ 0.884136  10.213078   5.9315624] : 74
F-1 : [3.97152   9.2837679 6.5201072] : 70
!!!atention to nb coordination!!!
         [2.3928642994731106, 2.2799695730542946, 2.2522319392741883, 2.2786834177335034, 2.3809410733220204, 2.224277427061496, 2.2045797639844325, 2.298023675688931]
         [2.3928642994731106, 2.2799695730542946, 2.2522319392741883, 2.2786834177335042, 2.3809410733220204, 2.224277427061495, 2.2045797639844325, 2.2980236756889316]

ce_symbol  = BO_3:8
ce_fraction=  0.0039408616131327715
species:coords:index
F-1 : [ 1.599246  12.0583652  3.9283216] : 46
F-1 : [ 2.217432  11.1650542  7.9191712] : 50
F-1 : [ 2.563758  13.3543328  6.0347336] : 34
F-1 : [ 4.904118  11.7903719  6.5412104] : 78
F-1 : [ 3.999888  12.2716932  3.9674016] : 26
F-1 : [3.036558  9.7837554 3.9830336] : 42
F-1 : [ 0.884136  10.213078   5.9315624] : 74
F-1 : [3.97152   9.2837679 6.5201072] : 70
!!!atention to nb coordination!!!
         [2.3928642994731106, 2.2799695730542946, 2.2522319392741883, 2.2786834177335034, 2.3809410733220204, 2.224277427061496, 2.2045797639844325, 2.298023675688931]
         [2.3928642994731106, 2.2799695730542946, 2.2522319392741883, 2.2786834177335042, 2.3809410733220204, 2.224277427061495, 2.2045797639844325, 2.2980236756889316]


**isite= 17
Er3+1 : [8.9469126  2.18941193 1.82761528]

ce_symbol  = SA:8
ce_fraction=  0.7748689908858808
species:coords:index
F-1 : [7.820112  1.0613068 0.0594016] : 27
F-1 : [6.915882  1.5426281 2.6332104] : 79
F-1 : [ 9.256242  -0.0213328  2.1267336] : 35
F-1 : [8.783442  3.5492446 0.0750336] : 43
F-1 : [10.220754   1.2746348  0.0203216] : 47
F-1 : [9.602568  2.1679458 4.0111712] : 51
F-1 : [7.84848   4.0492321 2.6121072] : 71
F-1 : [10.935864   3.119922   2.0235624] : 75
!!!atention to nb coordination!!!
         [2.3809410733220213, 2.278683417733506, 2.2522319392741883, 2.224277427061493, 2.3928642994731093, 2.279969573054296, 2.298023675688931, 2.204579763984432]
         [2.3809410733220213, 2.278683417733506, 2.252231939274188, 2.224277427061493, 2.3928642994731093, 2.279969573054296, 2.298023675688932, 2.204579763984432]

ce_symbol  = SBT:8
ce_fraction=  0.1659622846948378
species:coords:index
F-1 : [7.820112  1.0613068 0.0594016] : 27
F-1 : [6.915882  1.5426281 2.6332104] : 79
F-1 : [ 9.256242  -0.0213328  2.1267336] : 35
F-1 : [8.783442  3.5492446 0.0750336] : 43
F-1 : [10.220754   1.2746348  0.0203216] : 47
F-1 : [9.602568  2.1679458 4.0111712] : 51
F-1 : [7.84848   4.0492321 2.6121072] : 71
F-1 : [10.935864   3.119922   2.0235624] : 75
!!!atention to nb coordination!!!
         [2.3809410733220213, 2.278683417733506, 2.2522319392741883, 2.224277427061493, 2.3928642994731093, 2.279969573054296, 2.298023675688931, 2.204579763984432]
         [2.3809410733220213, 2.278683417733506, 2.252231939274188, 2.224277427061493, 2.3928642994731093, 2.279969573054296, 2.298023675688932, 2.204579763984432]

ce_symbol  = DDPN:8
ce_fraction=  0.04472373696962481
species:coords:index
F-1 : [7.820112  1.0613068 0.0594016] : 27
F-1 : [6.915882  1.5426281 2.6332104] : 79
F-1 : [ 9.256242  -0.0213328  2.1267336] : 35
F-1 : [8.783442  3.5492446 0.0750336] : 43
F-1 : [10.220754   1.2746348  0.0203216] : 47
F-1 : [9.602568  2.1679458 4.0111712] : 51
F-1 : [7.84848   4.0492321 2.6121072] : 71
F-1 : [10.935864   3.119922   2.0235624] : 75
!!!atention to nb coordination!!!
         [2.3809410733220213, 2.278683417733506, 2.2522319392741883, 2.224277427061493, 2.3928642994731093, 2.279969573054296, 2.298023675688931, 2.204579763984432]
         [2.3809410733220213, 2.278683417733506, 2.252231939274188, 2.224277427061493, 2.3928642994731093, 2.279969573054296, 2.298023675688932, 2.204579763984432]

ce_symbol  = DD:8
ce_fraction=  0.010504125836523851
species:coords:index
F-1 : [7.820112  1.0613068 0.0594016] : 27
F-1 : [6.915882  1.5426281 2.6332104] : 79
F-1 : [ 9.256242  -0.0213328  2.1267336] : 35
F-1 : [8.783442  3.5492446 0.0750336] : 43
F-1 : [10.220754   1.2746348  0.0203216] : 47
F-1 : [9.602568  2.1679458 4.0111712] : 51
F-1 : [7.84848   4.0492321 2.6121072] : 71
F-1 : [10.935864   3.119922   2.0235624] : 75
!!!atention to nb coordination!!!
         [2.3809410733220213, 2.278683417733506, 2.2522319392741883, 2.224277427061493, 2.3928642994731093, 2.279969573054296, 2.298023675688931, 2.204579763984432]
         [2.3809410733220213, 2.278683417733506, 2.252231939274188, 2.224277427061493, 2.3928642994731093, 2.279969573054296, 2.298023675688932, 2.204579763984432]

ce_symbol  = BO_3:8
ce_fraction=  0.003940861613132681
species:coords:index
F-1 : [7.820112  1.0613068 0.0594016] : 27
F-1 : [6.915882  1.5426281 2.6332104] : 79
F-1 : [ 9.256242  -0.0213328  2.1267336] : 35
F-1 : [8.783442  3.5492446 0.0750336] : 43
F-1 : [10.220754   1.2746348  0.0203216] : 47
F-1 : [9.602568  2.1679458 4.0111712] : 51
F-1 : [7.84848   4.0492321 2.6121072] : 71
F-1 : [10.935864   3.119922   2.0235624] : 75
!!!atention to nb coordination!!!
         [2.3809410733220213, 2.278683417733506, 2.2522319392741883, 2.224277427061493, 2.3928642994731093, 2.279969573054296, 2.298023675688931, 2.204579763984432]
         [2.3809410733220213, 2.278683417733506, 2.252231939274188, 2.224277427061493, 2.3928642994731093, 2.279969573054296, 2.298023675688932, 2.204579763984432]


**isite= 18
Er3+1 : [3.0369126  4.47708807 1.82761528]

ce_symbol  = SA:8
ce_fraction=  0.7748689908858791
species:coords:index
F-1 : [1.910112  5.6051932 0.0594016] : 24
F-1 : [4.310754  5.3918652 0.0203216] : 44
F-1 : [3.346242  6.6878328 2.1267336] : 32
F-1 : [2.873442  3.1172554 0.0750336] : 40
F-1 : [5.025864  3.546578  2.0235624] : 72
F-1 : [1.005882  5.1238719 2.6332104] : 76
F-1 : [3.692568  4.4985542 4.0111712] : 48
F-1 : [1.93848   2.6172679 2.6121072] : 68
!!!atention to nb coordination!!!
         [2.380941073322021, 2.392864299473109, 2.2522319392741874, 2.2242774270614936, 2.2045797639844333, 2.278683417733505, 2.2799695730542964, 2.2980236756889316]
         [2.380941073322021, 2.3928642994731093, 2.2522319392741874, 2.2242774270614936, 2.2045797639844333, 2.278683417733505, 2.2799695730542964, 2.2980236756889316]

ce_symbol  = SBT:8
ce_fraction=  0.16596228469483912
species:coords:index
F-1 : [1.910112  5.6051932 0.0594016] : 24
F-1 : [4.310754  5.3918652 0.0203216] : 44
F-1 : [3.346242  6.6878328 2.1267336] : 32
F-1 : [2.873442  3.1172554 0.0750336] : 40
F-1 : [5.025864  3.546578  2.0235624] : 72
F-1 : [1.005882  5.1238719 2.6332104] : 76
F-1 : [3.692568  4.4985542 4.0111712] : 48
F-1 : [1.93848   2.6172679 2.6121072] : 68
!!!atention to nb coordination!!!
         [2.380941073322021, 2.392864299473109, 2.2522319392741874, 2.2242774270614936, 2.2045797639844333, 2.278683417733505, 2.2799695730542964, 2.2980236756889316]
         [2.380941073322021, 2.3928642994731093, 2.2522319392741874, 2.2242774270614936, 2.2045797639844333, 2.278683417733505, 2.2799695730542964, 2.2980236756889316]

ce_symbol  = DDPN:8
ce_fraction=  0.04472373696962524
species:coords:index
F-1 : [1.910112  5.6051932 0.0594016] : 24
F-1 : [4.310754  5.3918652 0.0203216] : 44
F-1 : [3.346242  6.6878328 2.1267336] : 32
F-1 : [2.873442  3.1172554 0.0750336] : 40
F-1 : [5.025864  3.546578  2.0235624] : 72
F-1 : [1.005882  5.1238719 2.6332104] : 76
F-1 : [3.692568  4.4985542 4.0111712] : 48
F-1 : [1.93848   2.6172679 2.6121072] : 68
!!!atention to nb coordination!!!
         [2.380941073322021, 2.392864299473109, 2.2522319392741874, 2.2242774270614936, 2.2045797639844333, 2.278683417733505, 2.2799695730542964, 2.2980236756889316]
         [2.380941073322021, 2.3928642994731093, 2.2522319392741874, 2.2242774270614936, 2.2045797639844333, 2.278683417733505, 2.2799695730542964, 2.2980236756889316]

ce_symbol  = DD:8
ce_fraction=  0.010504125836523916
species:coords:index
F-1 : [1.910112  5.6051932 0.0594016] : 24
F-1 : [4.310754  5.3918652 0.0203216] : 44
F-1 : [3.346242  6.6878328 2.1267336] : 32
F-1 : [2.873442  3.1172554 0.0750336] : 40
F-1 : [5.025864  3.546578  2.0235624] : 72
F-1 : [1.005882  5.1238719 2.6332104] : 76
F-1 : [3.692568  4.4985542 4.0111712] : 48
F-1 : [1.93848   2.6172679 2.6121072] : 68
!!!atention to nb coordination!!!
         [2.380941073322021, 2.392864299473109, 2.2522319392741874, 2.2242774270614936, 2.2045797639844333, 2.278683417733505, 2.2799695730542964, 2.2980236756889316]
         [2.380941073322021, 2.3928642994731093, 2.2522319392741874, 2.2242774270614936, 2.2045797639844333, 2.278683417733505, 2.2799695730542964, 2.2980236756889316]

ce_symbol  = BO_3:8
ce_fraction=  0.0039408616131327125
species:coords:index
F-1 : [1.910112  5.6051932 0.0594016] : 24
F-1 : [4.310754  5.3918652 0.0203216] : 44
F-1 : [3.346242  6.6878328 2.1267336] : 32
F-1 : [2.873442  3.1172554 0.0750336] : 40
F-1 : [5.025864  3.546578  2.0235624] : 72
F-1 : [1.005882  5.1238719 2.6332104] : 76
F-1 : [3.692568  4.4985542 4.0111712] : 48
F-1 : [1.93848   2.6172679 2.6121072] : 68
!!!atention to nb coordination!!!
         [2.380941073322021, 2.392864299473109, 2.2522319392741874, 2.2242774270614936, 2.2045797639844333, 2.278683417733505, 2.2799695730542964, 2.2980236756889316]
         [2.380941073322021, 2.3928642994731093, 2.2522319392741874, 2.2242774270614936, 2.2045797639844333, 2.278683417733505, 2.2799695730542964, 2.2980236756889316]


**isite= 19
Er3+1 : [8.7830874  8.85591193 5.73561528]

ce_symbol  = SA:8
ce_fraction=  0.77486899088588
species:coords:index
F-1 : [7.509246  7.9411348 3.9283216] : 45
F-1 : [9.909888  7.7278068 3.9674016] : 25
F-1 : [ 9.88152   10.7157321  6.5201072] : 69
F-1 : [ 8.946558  10.2157446  3.9830336] : 41
F-1 : [6.794136  9.786422  5.9315624] : 73
F-1 : [8.473758  6.6451672 6.0347336] : 33
F-1 : [10.814118   8.2091281  6.5412104] : 77
F-1 : [8.127432  8.8344458 7.9191712] : 49
!!!atention to nb coordination!!!
         [2.3928642994731097, 2.3809410733220218, 2.298023675688932, 2.224277427061496, 2.204579763984431, 2.2522319392741887, 2.278683417733505, 2.2799695730542946]
         [2.3928642994731097, 2.3809410733220218, 2.2980236756889325, 2.2242774270614953, 2.2045797639844316, 2.252231939274188, 2.278683417733505, 2.2799695730542946]

ce_symbol  = SBT:8
ce_fraction=  0.16596228469483837
species:coords:index
F-1 : [7.509246  7.9411348 3.9283216] : 45
F-1 : [9.909888  7.7278068 3.9674016] : 25
F-1 : [ 9.88152   10.7157321  6.5201072] : 69
F-1 : [ 8.946558  10.2157446  3.9830336] : 41
F-1 : [6.794136  9.786422  5.9315624] : 73
F-1 : [8.473758  6.6451672 6.0347336] : 33
F-1 : [10.814118   8.2091281  6.5412104] : 77
F-1 : [8.127432  8.8344458 7.9191712] : 49
!!!atention to nb coordination!!!
         [2.3928642994731097, 2.3809410733220218, 2.298023675688932, 2.224277427061496, 2.204579763984431, 2.2522319392741887, 2.278683417733505, 2.2799695730542946]
         [2.3928642994731097, 2.3809410733220218, 2.2980236756889325, 2.2242774270614953, 2.2045797639844316, 2.252231939274188, 2.278683417733505, 2.2799695730542946]

ce_symbol  = DDPN:8
ce_fraction=  0.04472373696962505
species:coords:index
F-1 : [7.509246  7.9411348 3.9283216] : 45
F-1 : [9.909888  7.7278068 3.9674016] : 25
F-1 : [ 9.88152   10.7157321  6.5201072] : 69
F-1 : [ 8.946558  10.2157446  3.9830336] : 41
F-1 : [6.794136  9.786422  5.9315624] : 73
F-1 : [8.473758  6.6451672 6.0347336] : 33
F-1 : [10.814118   8.2091281  6.5412104] : 77
F-1 : [8.127432  8.8344458 7.9191712] : 49
!!!atention to nb coordination!!!
         [2.3928642994731097, 2.3809410733220218, 2.298023675688932, 2.224277427061496, 2.204579763984431, 2.2522319392741887, 2.278683417733505, 2.2799695730542946]
         [2.3928642994731097, 2.3809410733220218, 2.2980236756889325, 2.2242774270614953, 2.2045797639844316, 2.252231939274188, 2.278683417733505, 2.2799695730542946]

ce_symbol  = DD:8
ce_fraction=  0.01050412583652382
species:coords:index
F-1 : [7.509246  7.9411348 3.9283216] : 45
F-1 : [9.909888  7.7278068 3.9674016] : 25
F-1 : [ 9.88152   10.7157321  6.5201072] : 69
F-1 : [ 8.946558  10.2157446  3.9830336] : 41
F-1 : [6.794136  9.786422  5.9315624] : 73
F-1 : [8.473758  6.6451672 6.0347336] : 33
F-1 : [10.814118   8.2091281  6.5412104] : 77
F-1 : [8.127432  8.8344458 7.9191712] : 49
!!!atention to nb coordination!!!
         [2.3928642994731097, 2.3809410733220218, 2.298023675688932, 2.224277427061496, 2.204579763984431, 2.2522319392741887, 2.278683417733505, 2.2799695730542946]
         [2.3928642994731097, 2.3809410733220218, 2.2980236756889325, 2.2242774270614953, 2.2045797639844316, 2.252231939274188, 2.278683417733505, 2.2799695730542946]

ce_symbol  = BO_3:8
ce_fraction=  0.003940861613132719
species:coords:index
F-1 : [7.509246  7.9411348 3.9283216] : 45
F-1 : [9.909888  7.7278068 3.9674016] : 25
F-1 : [ 9.88152   10.7157321  6.5201072] : 69
F-1 : [ 8.946558  10.2157446  3.9830336] : 41
F-1 : [6.794136  9.786422  5.9315624] : 73
F-1 : [8.473758  6.6451672 6.0347336] : 33
F-1 : [10.814118   8.2091281  6.5412104] : 77
F-1 : [8.127432  8.8344458 7.9191712] : 49
!!!atention to nb coordination!!!
         [2.3928642994731097, 2.3809410733220218, 2.298023675688932, 2.224277427061496, 2.204579763984431, 2.2522319392741887, 2.278683417733505, 2.2799695730542946]
         [2.3928642994731097, 2.3809410733220218, 2.2980236756889325, 2.2242774270614953, 2.2045797639844316, 2.252231939274188, 2.278683417733505, 2.2799695730542946]


**isite= 20
Er3+1 : [2.4778266  0.82864595 3.972482  ]

ce_symbol  = DDPN:8
ce_fraction=  0.8124161566416233
species:coords:index
F-1 : [2.563758  0.0213328 6.0347336] : 34
F-1 : [ 3.999888  -1.0613068  3.9674016] : 26
F-1 : [ 1.599246  -1.2746348  3.9283216] : 46
F-1 : [2.605128  0.0373324 1.8922536] : 36
F-1 : [4.449048  1.6599585 3.9775624] : 60
F-1 : [0.28959   1.1813038 3.84938  ] : 64
F-1 : [2.061408  2.6945993 5.1734104] : 28
F-1 : [1.93848   2.6172679 2.6121072] : 68
!!!atention to nb coordination!!!
         [2.2163078282069573, 2.4266475049060365, 2.279834188037606, 2.2292897920687933, 2.139350409369541, 2.219887627595186, 2.2577456403963523, 2.3109917419645623]
         [2.2163078282069573, 2.426647504906036, 2.2798341880376065, 2.2292897920687933, 2.139350409369541, 2.219887627595186, 2.2577456403963527, 2.3109917419645623]

ce_symbol  = DD:8
ce_fraction=  0.1092384118010817
species:coords:index
F-1 : [2.563758  0.0213328 6.0347336] : 34
F-1 : [ 3.999888  -1.0613068  3.9674016] : 26
F-1 : [ 1.599246  -1.2746348  3.9283216] : 46
F-1 : [2.605128  0.0373324 1.8922536] : 36
F-1 : [4.449048  1.6599585 3.9775624] : 60
F-1 : [0.28959   1.1813038 3.84938  ] : 64
F-1 : [2.061408  2.6945993 5.1734104] : 28
F-1 : [1.93848   2.6172679 2.6121072] : 68
!!!atention to nb coordination!!!
         [2.2163078282069573, 2.4266475049060365, 2.279834188037606, 2.2292897920687933, 2.139350409369541, 2.219887627595186, 2.2577456403963523, 2.3109917419645623]
